Date,BAC,C
2010-11-01,11.5,41.5
2010-11-02,11.399999618530272,41.70000076293945
2010-11-03,11.520000457763672,41.900001525878906
2010-11-04,12.130000114440918,43.29999923706055
2010-11-05,12.359999656677246,44.900001525878906
2010-11-08,12.600000381469728,44.400001525878906
2010-11-09,12.270000457763672,43.0
2010-11-10,12.56999969482422,44.20000076293945
2010-11-11,12.369999885559082,43.599998474121094
2010-11-12,12.119999885559082,42.900001525878906
2010-11-15,12.100000381469728,43.20000076293945
2010-11-16,11.9399995803833,42.20000076293945
2010-11-17,11.619999885559082,41.900001525878906
2010-11-18,11.699999809265137,43.0
2010-11-19,11.65999984741211,42.70000076293945
2010-11-22,11.300000190734863,41.79999923706055
2010-11-23,11.09000015258789,41.0
2010-11-24,11.279999732971191,41.70000076293945
2010-11-26,11.119999885559082,41.099998474121094
2010-11-29,11.3100004196167,41.5
2010-11-30,10.949999809265137,42.0
2010-12-01,11.289999961853027,43.0
2010-12-02,11.68000030517578,44.20000076293945
2010-12-03,11.859999656677246,44.5
2010-12-06,11.640000343322754,44.5
2010-12-07,11.56999969482422,46.20000076293945
2010-12-08,12.0,46.400001525878906
2010-12-09,12.649999618530272,46.900001525878906
2010-12-10,12.800000190734863,47.70000076293945
2010-12-13,12.539999961853027,48.099998474121094
2010-12-14,12.399999618530272,46.900001525878906
2010-12-15,12.289999961853027,45.900001525878906
2010-12-16,12.520000457763672,45.900001525878906
2010-12-17,12.56999969482422,47.0
2010-12-20,12.619999885559082,47.099998474121094
2010-12-21,12.979999542236328,47.400001525878906
2010-12-22,13.380000114440918,47.29999923706055
2010-12-23,13.0600004196167,46.79999923706055
2010-12-27,13.270000457763672,47.70000076293945
2010-12-28,13.34000015258789,47.79999923706055
2010-12-29,13.3100004196167,47.70000076293945
2010-12-30,13.279999732971191,47.599998474121094
2010-12-31,13.34000015258789,47.29999923706055
2011-01-03,14.1899995803833,49.0
2011-01-04,14.239999771118164,49.0
2011-01-05,14.5,49.70000076293945
2011-01-06,14.4399995803833,49.5
2011-01-07,14.25,49.400001525878906
2011-01-10,14.399999618530272,49.099998474121094
2011-01-11,14.6899995803833,49.400001525878906
2011-01-12,14.989999771118164,50.79999923706055
2011-01-13,14.770000457763672,50.400001525878906
2011-01-14,15.25,51.29999923706055
2011-01-18,15.0,48.0
2011-01-19,14.369999885559082,47.599998474121094
2011-01-20,14.539999961853027,48.0
2011-01-21,14.25,48.900001525878906
2011-01-24,13.920000076293944,48.599998474121094
2011-01-25,13.630000114440918,48.20000076293945
2011-01-26,13.550000190734863,48.099998474121094
2011-01-27,13.670000076293944,48.29999923706055
2011-01-28,13.600000381469728,47.20000076293945
2011-01-31,13.729999542236328,48.20000076293945
2011-02-01,14.3100004196167,49.0
2011-02-02,14.239999771118164,48.5
2011-02-03,14.43000030517578,48.099998474121094
2011-02-04,14.289999961853027,48.20000076293945
2011-02-07,14.670000076293944,49.0
2011-02-08,14.609999656677246,48.900001525878906
2011-02-09,14.640000343322754,48.400001525878906
2011-02-10,14.489999771118164,47.79999923706055
2011-02-11,14.770000457763672,48.79999923706055
2011-02-14,14.890000343322754,49.099998474121094
2011-02-15,14.770000457763672,49.099998474121094
2011-02-16,14.84000015258789,49.0
2011-02-17,14.8100004196167,49.400001525878906
2011-02-18,14.75,49.099998474121094
2011-02-22,14.18000030517578,46.900001525878906
2011-02-23,14.170000076293944,47.0
2011-02-24,13.970000267028809,46.900001525878906
2011-02-25,14.199999809265137,47.0
2011-02-28,14.289999961853027,46.79999923706055
2011-03-01,13.93000030517578,45.70000076293945
2011-03-02,13.829999923706056,46.0
2011-03-03,14.270000457763672,46.79999923706055
2011-03-04,14.119999885559082,45.400001525878906
2011-03-07,14.029999732971191,45.20000076293945
2011-03-08,14.6899995803833,46.400001525878906
2011-03-09,14.59000015258789,46.5
2011-03-10,14.260000228881836,45.400001525878906
2011-03-11,14.380000114440918,45.70000076293945
2011-03-14,14.229999542236328,45.400001525878906
2011-03-15,13.960000038146973,44.400001525878906
2011-03-16,13.6899995803833,43.900001525878906
2011-03-17,13.979999542236328,44.5
2011-03-18,14.039999961853027,45.0
2011-03-21,14.050000190734863,44.29999923706055
2011-03-22,13.880000114440918,44.20000076293945
2011-03-23,13.649999618530272,44.0
2011-03-24,13.479999542236328,44.29999923706055
2011-03-25,13.34000015258789,44.599998474121094
2011-03-28,13.369999885559082,44.29999923706055
2011-03-29,13.350000381469728,44.5
2011-03-30,13.449999809265137,44.5
2011-03-31,13.329999923706056,44.20000076293945
2011-04-01,13.369999885559082,44.5
2011-04-04,13.4399995803833,44.29999923706055
2011-04-05,13.470000267028809,44.70000076293945
2011-04-06,13.720000267028809,45.900001525878906
2011-04-07,13.609999656677246,45.79999923706055
2011-04-08,13.479999542236328,45.599998474121094
2011-04-11,13.489999771118164,45.29999923706055
2011-04-12,13.470000267028809,45.5
2011-04-13,13.270000457763672,45.0
2011-04-14,13.130000114440918,44.29999923706055
2011-04-15,12.81999969482422,44.20000076293945
2011-04-18,12.420000076293944,44.20000076293945
2011-04-19,12.34000015258789,45.29999923706055
2011-04-20,12.270000457763672,45.70000076293945
2011-04-21,12.3100004196167,45.5
2011-04-25,12.4399995803833,45.20000076293945
2011-04-26,12.229999542236328,45.099998474121094
2011-04-27,12.329999923706056,45.099998474121094
2011-04-28,12.420000076293944,45.900001525878906
2011-04-29,12.279999732971191,45.900001525878906
2011-05-02,12.34000015258789,44.900001525878906
2011-05-03,12.600000381469728,45.20000076293945
2011-05-04,12.489999771118164,45.20000076293945
