Date,AAPL,NVDA,INTC,ORCL,VZ,T,DIS,JPM,BAC,C,MCD,SBUX,NKE,KO,PEP,WMT,XOM,CVX,DD,APD,CAT,GE,BA,JNJ,PFE,MRK,SPG,NEE,DUK,SO
2010-11-01,10.863571166992188,0.3009999990463257,20.56999969482422,29.1299991607666,32.400001525878906,21.69184303283691,36.029998779296875,37.41999816894531,11.5,41.5,77.87999725341797,14.404999732971191,20.274999618530273,30.854999542236328,65.55000305175781,18.10333251953125,66.94999694824219,81.44999694824219,43.96480178833008,78.58464050292969,79.2699966430664,76.43937683105469,70.4800033569336,63.689998626708984,16.717267990112305,34.58969497680664,92.77516174316406,13.479999542236328,54.150001525878906,37.58000183105469
2010-11-02,11.04857063293457,0.3072499930858612,20.34000015258789,29.530000686645508,32.79999923706055,21.85800552368164,36.11000061035156,36.959999084472656,11.399999618530272,41.70000076293945,78.4000015258789,14.4399995803833,20.4375,30.93000030517578,65.80000305175781,18.26333236694336,67.83999633789062,82.1500015258789,44.67643737792969,79.88899230957031,79.75,76.39144897460938,69.77999877929688,63.880001068115234,16.55597686767578,34.933204650878906,94.6095962524414,13.600000381469728,54.810001373291016,37.97999954223633
2010-11-03,11.171428680419922,0.3095000088214874,20.479999542236328,29.200000762939453,32.9900016784668,21.948640823364254,36.290000915527344,37.720001220703125,11.520000457763672,41.900001525878906,78.5,14.550000190734863,20.457500457763672,30.975000381469727,65.19999694824219,18.303333282470703,67.97000122070312,82.69999694824219,44.91839218139648,79.05642700195312,79.87999725341797,76.96654510498047,68.94000244140625,64.19000244140625,16.688804626464844,34.83778762817383,94.9012222290039,13.657500267028809,54.869998931884766,37.90999984741211
2010-11-04,11.366786003112791,0.3100000023841858,20.969999313354492,29.469999313354492,33.52000045776367,22.23564910888672,37.029998779296875,39.79999923706055,12.130000114440918,43.29999923706055,79.18000030517578,14.875,20.852500915527344,31.225000381469727,65.3499984741211,18.453332901000977,69.37999725341797,85.13999938964844,46.64054870605469,80.35152435302734,83.18000030517578,79.12313842773438,70.8499984741211,64.76000213623047,16.489564895629883,34.97137451171875,97.68579864501952,13.7524995803833,55.59000015258789,38.45000076293945
2010-11-05,11.32607078552246,0.3152500092983246,21.239999771118164,29.25,33.43000030517578,22.107250213623047,37.20000076293945,40.939998626708984,12.359999656677246,44.900001525878906,79.30000305175781,15.4350004196167,21.02750015258789,31.290000915527344,65.08000183105469,18.399999618530273,70.0,84.9800033569336,46.25626754760742,80.15726470947266,83.54000091552734,80.17747497558594,71.2699966430664,64.6500015258789,16.2998104095459,34.064884185791016,99.50141143798828,13.682499885559082,55.470001220703125,38.470001220703125
2010-11-08,11.37928581237793,0.3165000081062317,21.229999542236328,29.040000915527344,33.16999816894531,22.03927421569824,37.060001373291016,40.5099983215332,12.600000381469728,44.400001525878906,79.30999755859375,15.3149995803833,20.90250015258789,31.229999542236328,65.11000061035156,18.303333282470703,70.31999969482422,84.80000305175781,46.04277420043945,80.67530059814453,83.12000274658203,80.08162689208984,70.20999908447266,64.33000183105469,16.176471710205078,33.988548278808594,99.95296478271484,13.612500190734863,55.290000915527344,38.31999969482422
2010-11-09,11.28857135772705,0.3147499859333038,21.15999984741211,28.739999771118164,33.0099983215332,22.03927421569824,36.86000061035156,39.900001525878906,12.270000457763672,43.0,79.0999984741211,15.085000038146973,20.799999237060547,31.31999969482422,65.30000305175781,18.350000381469727,70.62999725341797,83.55999755859375,45.27421188354492,79.16743469238281,81.91000366210938,79.65030670166016,69.25,64.30999755859375,16.119544982910156,33.44465637207031,95.18344116210938,13.607500076293944,54.150001525878906,38.25
2010-11-10,11.358214378356934,0.3185000121593475,21.040000915527344,28.690000534057617,32.849998474121094,21.94108772277832,36.9900016784668,40.619998931884766,12.56999969482422,44.20000076293945,79.5,15.234999656677246,20.969999313354492,31.274999618530273,65.25,18.170000076293945,71.12999725341797,85.16999816894531,45.103416442871094,78.88066864013672,82.45999908447266,79.3148422241211,67.06999969482422,63.95000076293945,15.96774196624756,33.35877990722656,97.02728271484376,13.532500267028809,53.63999938964844,37.970001220703125
2010-11-11,11.308929443359377,0.3152500092983246,21.209999084472656,28.56999969482422,32.630001068115234,21.77492332458496,35.93000030517578,40.02000045776367,12.369999885559082,43.599998474121094,79.69999694824219,15.369999885559082,20.917499542236328,31.399999618530273,64.9000015258789,18.11333274841309,71.83000183105469,86.08999633789062,45.27421188354492,79.08418273925781,82.44000244140625,78.35635375976562,65.37000274658203,63.91999816894531,16.110057830810547,33.597328186035156,95.44684600830078,13.47249984741211,53.61000061035156,38.2599983215332
2010-11-12,11.001070976257324,0.3314999938011169,21.530000686645508,28.31999969482422,32.560001373291016,21.49546813964844,37.75,39.61000061035156,12.119999885559082,42.900001525878906,78.8499984741211,15.095000267028809,20.655000686645508,31.459999084472656,64.63999938964844,18.043333053588867,70.98999786376953,85.44000244140625,44.548343658447266,77.70582580566406,81.04000091552734,77.87710571289062,63.09000015258789,63.66999816894531,15.986717224121094,33.1202278137207,94.44966888427734,13.407500267028809,53.369998931884766,38.09000015258789
2010-11-15,10.96571445465088,0.3274999856948852,21.299999237060547,28.399999618530273,32.77000045776367,21.62386703491211,37.25,40.08000183105469,12.100000381469728,43.20000076293945,79.06999969482422,15.395000457763672,20.450000762939453,31.479999542236328,64.41999816894531,17.983333587646484,70.4800033569336,84.86000061035156,44.34908676147461,78.1868667602539,81.81999969482422,77.63748931884766,63.61000061035156,64.13999938964844,15.891840934753418,32.95801544189453,93.8193817138672,13.392499923706056,53.220001220703125,38.33000183105469
