Asset_1,Asset_2,Mean_Correlation
JPM,BAC,0.8700608859069373
JPM,C,0.8180122444082638
BAC,C,0.7960292222836596
DUK,SO,0.7624541750989194
PEP,JNJ,0.6896484933005403
XOM,CVX,0.6811454556349631
DD,CAT,0.658881144550837
NEE,DUK,0.6546104468138645
KO,PEP,0.6415106880537336
PEP,NEE,0.6265233179100633
KO,DUK,0.6016262721510921
