Date,JPM,BAC
2010-11-01,37.41999816894531,11.5
2010-11-02,36.959999084472656,11.399999618530272
2010-11-03,37.720001220703125,11.520000457763672
2010-11-04,39.79999923706055,12.130000114440918
2010-11-05,40.939998626708984,12.359999656677246
2010-11-08,40.5099983215332,12.600000381469728
2010-11-09,39.900001525878906,12.270000457763672
2010-11-10,40.619998931884766,12.56999969482422
2010-11-11,40.02000045776367,12.369999885559082
2010-11-12,39.61000061035156,12.119999885559082
2010-11-15,40.08000183105469,12.100000381469728
2010-11-16,39.61000061035156,11.9399995803833
2010-11-17,39.18000030517578,11.619999885559082
2010-11-18,39.65999984741211,11.699999809265137
2010-11-19,39.40999984741211,11.65999984741211
2010-11-22,38.5099983215332,11.300000190734863
2010-11-23,37.630001068115234,11.09000015258789
2010-11-24,38.15999984741211,11.279999732971191
2010-11-26,37.5,11.119999885559082
2010-11-29,37.90999984741211,11.3100004196167
2010-11-30,37.400001525878906,10.949999809265137
2010-12-01,38.150001525878906,11.289999961853027
2010-12-02,39.310001373291016,11.68000030517578
2010-12-03,39.61000061035156,11.859999656677246
2010-12-06,39.900001525878906,11.640000343322754
2010-12-07,39.25,11.56999969482422
2010-12-08,40.2599983215332,12.0
2010-12-09,40.810001373291016,12.649999618530272
2010-12-10,41.43000030517578,12.800000190734863
2010-12-13,41.5099983215332,12.539999961853027
2010-12-14,40.790000915527344,12.399999618530272
2010-12-15,40.209999084472656,12.289999961853027
2010-12-16,40.0099983215332,12.520000457763672
2010-12-17,39.66999816894531,12.56999969482422
2010-12-20,39.95000076293945,12.619999885559082
2010-12-21,41.0,12.979999542236328
2010-12-22,42.15999984741211,13.380000114440918
2010-12-23,42.08000183105469,13.0600004196167
2010-12-27,42.66999816894531,13.270000457763672
2010-12-28,42.61000061035156,13.34000015258789
2010-12-29,42.36000061035156,13.3100004196167
2010-12-30,42.22999954223633,13.279999732971191
2010-12-31,42.41999816894531,13.34000015258789
2011-01-03,43.58000183105469,14.1899995803833
2011-01-04,44.15999984741211,14.239999771118164
2011-01-05,44.70000076293945,14.5
2011-01-06,44.47999954223633,14.4399995803833
2011-01-07,43.63999938964844,14.25
2011-01-10,43.400001525878906,14.399999618530272
2011-01-11,43.599998474121094,14.6899995803833
2011-01-12,44.709999084472656,14.989999771118164
2011-01-13,44.45000076293945,14.770000457763672
2011-01-14,44.90999984741211,15.25
2011-01-18,44.75,15.0
2011-01-19,43.709999084472656,14.369999885559082
2011-01-20,44.75,14.539999961853027
2011-01-21,45.290000915527344,14.25
2011-01-24,45.02000045776367,13.920000076293944
2011-01-25,44.869998931884766,13.630000114440918
2011-01-26,44.97999954223633,13.550000190734863
2011-01-27,45.099998474121094,13.670000076293944
2011-01-28,44.540000915527344,13.600000381469728
2011-01-31,44.939998626708984,13.729999542236328
2011-02-01,45.93000030517578,14.3100004196167
2011-02-02,45.45000076293945,14.239999771118164
2011-02-03,45.459999084472656,14.43000030517578
2011-02-04,44.59000015258789,14.289999961853027
2011-02-07,45.5,14.670000076293944
2011-02-08,45.7400016784668,14.609999656677246
2011-02-09,45.11000061035156,14.640000343322754
2011-02-10,45.529998779296875,14.489999771118164
2011-02-11,46.56999969482422,14.770000457763672
2011-02-14,46.540000915527344,14.890000343322754
2011-02-15,46.81999969482422,14.770000457763672
2011-02-16,47.939998626708984,14.84000015258789
2011-02-17,47.81999969482422,14.8100004196167
2011-02-18,48.0,14.75
2011-02-22,46.0099983215332,14.18000030517578
2011-02-23,45.959999084472656,14.170000076293944
2011-02-24,45.90999984741211,13.970000267028809
2011-02-25,46.68000030517578,14.199999809265137
2011-02-28,46.689998626708984,14.289999961853027
2011-03-01,45.599998474121094,13.93000030517578
2011-03-02,45.209999084472656,13.829999923706056
2011-03-03,46.08000183105469,14.270000457763672
2011-03-04,45.52000045776367,14.119999885559082
2011-03-07,45.189998626708984,14.029999732971191
2011-03-08,46.400001525878906,14.6899995803833
2011-03-09,46.560001373291016,14.59000015258789
2011-03-10,45.529998779296875,14.260000228881836
2011-03-11,45.7400016784668,14.380000114440918
2011-03-14,45.29999923706055,14.229999542236328
2011-03-15,44.61000061035156,13.960000038146973
2011-03-16,43.810001373291016,13.6899995803833
2011-03-17,44.560001373291016,13.979999542236328
2011-03-18,45.7400016784668,14.039999961853027
2011-03-21,45.630001068115234,14.050000190734863
2011-03-22,45.470001220703125,13.880000114440918
2011-03-23,45.599998474121094,13.649999618530272
2011-03-24,45.72999954223633,13.479999542236328
2011-03-25,45.86000061035156,13.34000015258789
2011-03-28,45.959999084472656,13.369999885559082
2011-03-29,46.02000045776367,13.350000381469728
2011-03-30,46.45000076293945,13.449999809265137
2011-03-31,46.099998474121094,13.329999923706056
2011-04-01,46.349998474121094,13.369999885559082
2011-04-04,46.34000015258789,13.4399995803833
2011-04-05,46.58000183105469,13.470000267028809
2011-04-06,47.63999938964844,13.720000267028809
2011-04-07,47.400001525878906,13.609999656677246
2011-04-08,46.84000015258789,13.479999542236328
2011-04-11,46.86000061035156,13.489999771118164
2011-04-12,46.63999938964844,13.470000267028809
2011-04-13,46.25,13.270000457763672
2011-04-14,44.970001220703125,13.130000114440918
2011-04-15,44.88999938964844,12.81999969482422
2011-04-18,43.959999084472656,12.420000076293944
2011-04-19,44.650001525878906,12.34000015258789
2011-04-20,44.560001373291016,12.270000457763672
2011-04-21,44.68000030517578,12.3100004196167
2011-04-25,44.61000061035156,12.4399995803833
2011-04-26,45.119998931884766,12.229999542236328
2011-04-27,45.5,12.329999923706056
2011-04-28,45.849998474121094,12.420000076293944
