Asset_1,Asset_2,Trace_Stat,Crit_Value_5%,Rank_detected,Eigenvector_1,Eigenvector_2,Cointegrated
KO,DUK,27.707726891352188,15.4943,1,0.31181296501015243,-0.1946775971677176,True
KO,SO,22.26955629259135,15.4943,1,0.31909234979634626,-0.21532503083098548,True
