Date,BAC,C,beta_t_est,spread_t
2010-11-01,11.5,41.5,0.2769474673162975,6.673426273806626e-06
2010-11-02,11.399999618530272,41.70000076293945,0.26945338291376963,-0.041185631273064516
2010-11-03,11.520000457763672,41.900001525878906,0.2708975283481628,0.007053186242762521
2010-11-04,12.130000114440918,43.29999923706055,0.3143909445908311,0.048958340101037834
2010-11-05,12.359999656677246,44.900001525878906,0.27848073556725167,-0.041323122385179545
2010-11-08,12.600000381469728,44.400001525878906,0.2851985631210976,0.09149499800015093
2010-11-09,12.270000457763672,43.0,0.27309404654996416,0.03982359007091141
2010-11-10,12.56999969482422,44.20000076293945,0.2738980537236636,0.003127483720014368
2010-11-11,12.369999885559082,43.599998474121094,0.2741162947303307,-0.008926093838796945
2010-11-12,12.119999885559082,42.900001525878906,0.27632122391012326,-0.018186109963240327
2010-11-15,12.100000381469728,43.20000076293945,0.27373245299786714,-0.03366908056096207
2010-11-16,11.9399995803833,42.20000076293945,0.2703037416828687,0.0217426263518945
2010-11-17,11.619999885559082,41.900001525878906,0.27433820191865144,-0.061517859705016775
2010-11-18,11.699999809265137,43.0,0.25479146857818236,-0.07481822931796067
2010-11-19,11.65999984741211,42.70000076293945,0.25422479907840934,-0.010852404827435436
2010-11-22,11.300000190734863,41.79999923706055,0.25904272121392674,-0.03946144318283906
2010-11-23,11.09000015258789,41.0,0.2608009871139572,-0.01178387000226877
2010-11-24,11.279999732971191,41.70000076293945,0.2606354576269422,-0.0012430015956077511
2010-11-26,11.119999885559082,41.099998474121094,0.26068151174252685,-0.0014190894093495388
2010-11-29,11.3100004196167,41.5,0.263287084330148,0.024411619396111917
2010-11-30,10.949999809265137,42.0,0.24156707616380993,-0.1315232012538221
2010-12-01,11.289999961853027,43.0,0.23926340339090135,-0.008618845885139947
2010-12-02,11.68000030517578,44.20000076293945,0.2463137194157924,0.02303686150163209
2010-12-03,11.859999656677246,44.5,0.2517862331286528,0.034036864094211694
2010-12-06,11.640000343322754,44.5,0.24744061812563042,-0.05002097998216115
2010-12-07,11.56999969482422,46.20000076293945,0.21081403107184898,-0.1249870475939634
2010-12-08,12.0,46.400001525878906,0.21989813754694437,0.06647048094144736
2010-12-09,12.649999618530272,46.900001525878906,0.2404559086869306,0.15127072557955756
2010-12-10,12.800000190734863,47.70000076293945,0.24480888956622354,0.026252144457785676
2010-12-13,12.539999961853027,48.099998474121094,0.23451399721022162,-0.08047383390842278
2010-12-14,12.399999618530272,46.900001525878906,0.23393722690489163,0.015149512204752469
2010-12-15,12.289999961853027,45.900001525878906,0.23180724640762562,0.03498636566683544
2010-12-16,12.520000457763672,45.900001525878906,0.23390899046861324,0.06871589646006626
2010-12-17,12.56999969482422,47.0,0.22838557617310098,-0.03390957044766374
2010-12-20,12.619999885559082,47.099998474121094,0.22822259436587633,-0.0016938325857527303
2010-12-21,12.979999542236328,47.400001525878906,0.2353579199820341,0.0721090592812228
2010-12-22,13.380000114440918,47.29999923706055,0.2431839891299758,0.12436310025621111
2010-12-23,13.0600004196167,46.79999923706055,0.24285303200639477,-0.018759654570843054
2010-12-27,13.270000457763672,47.70000076293945,0.24196150502628294,-0.006657922471344335
2010-12-28,13.34000015258789,47.79999923706055,0.242823459952927,0.009666616280169293
2010-12-29,13.3100004196167,47.70000076293945,0.2428833632175867,0.0009808846591639053
2010-12-30,13.279999732971191,47.599998474121094,0.24281961948141406,-0.001177958337938989
2010-12-31,13.34000015258789,47.29999923706055,0.24396581490660554,0.03300757803486398
2011-01-03,14.1899995803833,49.0,0.2657745860950846,0.10561105809563642
2011-01-04,14.239999771118164,49.0,0.269335571311232,0.037259098908002386
2011-01-05,14.5,49.70000076293945,0.27254513817626985,0.025274273222244403
2011-01-06,14.4399995803833,49.5,0.27284600009528925,0.0046990949464014165
2011-01-07,14.25,49.400001525878906,0.2706982096569473,-0.03760915986002722
2011-01-10,14.399999618530272,49.099998474121094,0.2725600115268187,0.04640014799270986
2011-01-11,14.6899995803833,49.400001525878906,0.2775005281139986,0.0604209690923021
2011-01-12,14.989999771118164,50.79999923706055,0.27641623687120404,-0.006176394377430228
2011-01-13,14.770000457763672,50.400001525878906,0.27477062498720733,-0.026877149038059045
2011-01-14,15.25,51.29999923706055,0.2806565835263051,0.045921463583626476
2011-01-18,15.0,48.0,0.25811483285199205,0.15622563757311525
2011-01-19,14.369999885559082,47.599998474121094,0.2589301500226366,-0.09069279236443428
2011-01-20,14.539999961853027,48.0,0.2585033598784094,-0.005963747302732969
2011-01-21,14.25,48.900001525878906,0.24297925807942414,-0.1249668376094597
2011-01-24,13.920000076293944,48.599998474121094,0.23745257132534955,-0.0928605897357464
2011-01-25,13.630000114440918,48.20000076293945,0.23477044161300475,-0.07056772422486368
2011-01-26,13.550000190734863,48.099998474121094,0.23317135774712197,-0.03123956598968647
2011-01-27,13.670000076293944,48.29999923706055,0.23392643639388735,0.01028558504135546
2011-01-28,13.600000381469728,47.20000076293945,0.23375748354660456,0.04914728856287276
2011-01-31,13.729999542236328,48.20000076293945,0.23229660222711798,-0.013200186718346885
2011-02-01,14.3100004196167,49.0,0.24350750607200847,0.08979987281469448
2011-02-02,14.239999771118164,48.5,0.24518366346470422,0.03450174376569848
2011-02-03,14.43000030517578,48.099998474121094,0.24805964852582943,0.07924032145195348
2011-02-04,14.289999961853027,48.20000076293945,0.24673672082320036,-0.020967195678817774
2011-02-07,14.670000076293944,49.0,0.2510388682218825,0.03830437589484781
2011-02-08,14.609999656677246,48.900001525878906,0.25109611675303817,0.000820976273192997
