,Date,price1,price2,beta_t_est,spread_t
0,2010-11-01,30.854999542236328,37.58000183105469,0.8204668352565541,2.1832516630126975e-05
1,2010-11-02,30.93000030517578,37.97999954223633,0.7958525573686864,-0.07075370044922735
2,2010-11-03,30.975000381469727,37.90999984741211,0.7966884639220853,0.00951465535832341
3,2010-11-04,31.225000381469727,38.45000076293945,0.7750103244473869,-0.05037621835586137
4,2010-11-05,31.290000915527344,38.470001220703125,0.7749614824946548,-0.0002745861468582689
5,2010-11-08,31.229999542236328,38.31999969482422,0.7750030393837017,0.017750656874522264
6,2010-11-09,31.31999969482422,38.25,0.7748035396888816,0.05143191528291524
7,2010-11-10,31.274999618530273,37.970001220703125,0.7653009385128012,0.07037622125001519
8,2010-11-11,31.399999618530273,38.2599983215332,0.7638607283431068,-0.008361595824755597
9,2010-11-12,31.459999084472656,38.09000015258789,0.7632968311093556,0.05787530305277855
10,2010-11-15,31.479999542236328,38.33000183105469,0.7573589269454518,-0.03307219738686484
11,2010-11-16,31.040000915527344,38.130001068115234,0.7598083593096285,-0.10235447255534069
12,2010-11-17,31.260000228881836,37.90999984741211,0.75075694493659,0.09035778642358139
13,2010-11-18,31.920000076293945,38.029998779296875,0.7670267762148015,0.21088762032249875
14,2010-11-19,32.15999984741211,38.06999969482422,0.778599702334074,0.134086366491438
15,2010-11-22,32.1349983215332,38.22999954223633,0.7778174465735235,-0.004890889296554235
16,2010-11-23,31.809999465942383,37.959999084472656,0.7804332079351597,-0.038161409185146766
17,2010-11-24,32.30500030517578,38.0099983215332,0.7864784806743453,0.13362931704752157
18,2010-11-26,32.05500030517578,37.83000183105469,0.7860566547505224,0.00805931514923941
19,2010-11-29,31.69499969482422,37.54999923706055,0.7920077163366384,-0.041907467781218344
20,2010-11-30,31.584999084472656,37.720001220703125,0.783660607845485,-0.09222035585351662
21,2010-12-01,32.349998474121094,38.22999954223633,0.8133024635331433,0.0822675292941355
22,2010-12-02,32.45000076293945,38.08000183105469,0.8197358484173907,0.0972282193310221
23,2010-12-03,32.25,38.119998931884766,0.8162487359095377,-0.04321134056407061
24,2010-12-06,31.9950008392334,38.08000183105469,0.8126516060356133,-0.08481398741196955
25,2010-12-07,32.06999969482422,37.88999938964844,0.8103306649388562,0.04617365163957032
26,2010-12-08,32.19499969482422,37.58000183105469,0.7909929887418962,0.13386077961001064
27,2010-12-09,32.415000915527344,37.93000030517578,0.795327226971532,0.024405896811330763
28,2010-12-10,32.32500076293945,37.81999969482422,0.7955864369060792,0.007042972960107363
29,2010-12-13,32.42499923706055,37.900001525878906,0.79685800323801,0.013903889793944302
30,2010-12-14,31.950000762939453,37.86000061035156,0.7904628699988268,-0.13790408825026645
31,2010-12-15,32.369998931884766,37.70000076293945,0.7864414105069011,0.13139158180835864
32,2010-12-16,32.66999816894531,37.790000915527344,0.7951163752365955,0.11595431894412656
33,2010-12-17,32.849998474121094,37.900001525878906,0.8030595048631464,0.0666650856163784
34,2010-12-20,32.654998779296875,38.279998779296875,0.7666996474533014,-0.1333777622871537
35,2010-12-21,32.744998931884766,38.34000015258789,0.7624239329500466,-0.028150307356717974
36,2010-12-22,32.79499816894531,38.2400016784668,0.7635862623496669,0.03120249108994244
37,2010-12-23,32.790000915527344,38.2599983215332,0.7637943394399125,0.003474641644281462
38,2010-12-27,32.53499984741211,38.279998779296875,0.7581119248023233,-0.08471023061945004
39,2010-12-28,32.68000030517578,38.41999816894531,0.7562626928320295,-0.014438781329829453
40,2010-12-29,32.724998474121094,38.41999816894531,0.757023806501826,0.009664122113171913
41,2010-12-30,32.75,38.29999923706055,0.7572320535281264,0.039810489739771526
42,2010-12-31,32.8849983215332,38.22999954223633,0.7576663985782071,0.07238013613003602
43,2011-01-03,32.61000061035156,38.41999816894531,0.7432153765094572,-0.10906695822583856
44,2011-01-04,31.934999465942383,38.5,0.7117268481877954,-0.26540214680366603
45,2011-01-05,31.7450008392334,38.099998474121094,0.7179148885725135,-0.053606913413716484
46,2011-01-06,31.51499938964844,37.88999938964844,0.7220319388015556,-0.04205674780947177
47,2011-01-07,31.459999084472656,38.08000183105469,0.7148131940845069,-0.07460582601147081
48,2011-01-10,31.530000686645508,37.7599983215332,0.7089673168256352,0.07145624359498015
49,2011-01-11,31.344999313354492,37.84000015258789,0.7062726920629121,-0.05469639524471859
50,2011-01-12,31.520000457763672,38.08000183105469,0.7036842547577107,-0.015548293712043915
51,2011-01-13,31.700000762939453,38.279998779296875,0.7050459785313539,0.007435260878573047
52,2011-01-14,31.565000534057617,38.5,0.6878840503400726,-0.087872611462668
53,2011-01-18,31.739999771118164,38.400001525878906,0.6906014284068448,0.04938727091068529
54,2011-01-19,31.709999084472656,38.45000076293945,0.6902286483752974,-0.004783767993032484
55,2011-01-20,31.46500015258789,38.400001525878906,0.6874329651685411,-0.06816083945557239
56,2011-01-21,31.385000228881836,38.25,0.6876449330915219,-0.014284277405387513
57,2011-01-24,31.625,38.400001525878906,0.6915116338378535,0.03870190907028004
58,2011-01-25,31.479999542236328,38.459999084472656,0.6870188013355512,-0.04662393254411157
59,2011-01-26,31.479999542236328,38.15999984741211,0.6838600465520063,0.05042361518443883
60,2011-01-27,31.350000381469727,38.15999984741211,0.6833950709211003,-0.02533435913401405
61,2011-01-28,31.104999542236328,37.77000045776367,0.6835479615573804,-0.001201897616191161
62,2011-01-31,31.424999237060547,37.619998931884766,0.6744300298582718,0.13492395018813852
63,2011-02-01,31.524999618530273,37.939998626708984,0.6753699850839875,0.006064257683814134
