Price,Date,AAPL,NVDA,INTC,ORCL,VZ,T,DIS,JPM,BAC,C,MCD,SBUX,NKE,KO,PEP,WMT,XOM,CVX,DD,APD,CAT,GE,BA,JNJ,PFE,MRK,SPG,NEE,DUK,SO
Ticker,,AAPL,NVDA,INTC,ORCL,VZ,T,DIS,JPM,BAC,C,MCD,SBUX,NKE,KO,PEP,WMT,XOM,CVX,DD,APD,CAT,GE,BA,JNJ,PFE,MRK,SPG,NEE,DUK,SO
0,2010-11-01,9.131518363952637,0.27598267793655396,13.623068809509277,23.71355628967285,15.192412376403809,7.4515061378479,30.868595123291016,25.028249740600586,8.984243392944336,30.97671890258789,51.85924530029297,10.937685012817383,16.75969123840332,19.459152221679688,41.9555778503418,13.232014656066895,37.75992202758789,44.646549224853516,29.730010986328125,53.978023529052734,54.5496826171875,56.51557159423828,55.954437255859375,41.11167907714844,9.13952350616455,21.020893096923828,48.20940399169922,8.771111488342285,28.407934188842773,19.798538208007812
1,2010-11-02,9.287018775939941,0.2817130982875824,13.470744132995605,24.0391788482666,15.37997055053711,7.50858211517334,30.9371337890625,24.720584869384766,8.906122207641602,31.126018524169922,52.205482482910156,10.96426010131836,16.894014358520508,19.506454467773438,42.115577697753906,13.348960876464844,38.26188659667969,45.03023910522461,30.211231231689453,54.873958587646484,54.8800048828125,56.48012161254883,55.39869689941406,41.23432922363281,9.051342964172363,21.229652404785156,49.16263961791992,8.849193572998047,28.75418472290039,20.0092716217041
2,2010-11-03,9.390286445617676,0.28377604484558105,13.669644355773926,23.770540237426758,15.46906566619873,7.539714813232422,31.091350555419922,25.228900909423828,8.999868392944336,31.275278091430664,52.2721061706543,11.0477876663208,16.91054916381836,19.534839630126953,41.73153305053711,13.378190994262695,38.335201263427734,45.33174133300781,30.37484359741211,54.30207061767578,54.96946716308594,56.905364990234375,55.063255310058594,41.43443298339844,9.123961448669434,21.171669006347656,49.31418228149414,8.886610984802246,28.785655975341797,19.972394943237305
3,2010-11-04,9.554502487182617,0.2842344343662262,13.99670696258545,23.990333557128906,15.717580795288086,7.638305187225342,31.725339889526367,26.620119094848633,9.476425170898438,32.32028579711914,52.724884033203125,11.294557571411133,17.23706817626953,19.692502975463867,41.82755661010742,13.487834930419922,39.13044738769531,46.66920852661133,31.53940773010254,55.191680908203125,57.240352630615234,58.49981689453125,56.58879089355469,41.80236053466797,9.108241081237793,21.252853393554688,50.76115417480469,8.9484224319458,29.163389205932617,20.25687599182129
4,2010-11-05,9.520280838012695,0.2890481650829315,14.176920890808105,23.81123924255371,15.675384521484375,7.594198703765869,31.87099266052246,27.382598876953125,9.656108856201172,33.51456832885742,52.80479431152344,11.71976375579834,17.3817195892334,19.733497619628906,41.65474319458008,13.448851585388184,39.480125427246094,46.58149337768555,31.27955436706543,55.058223724365234,57.48808670043945,59.27934265136719,56.92426300048828,41.73134231567383,9.003425598144531,20.701955795288086,51.70459747314453,8.902874946594238,29.100425720214844,20.267423629760742
5,2010-11-08,9.565008163452148,0.29019421339035034,14.170246124267578,23.640287399291992,15.553464889526367,7.570850372314453,31.751047134399414,27.09499168395996,9.843608856201172,33.1413688659668,52.81145095825195,11.628646850585938,17.27839469909668,19.69565773010254,41.6739501953125,13.378190994262695,39.660614013671875,46.48283004760742,31.135183334350586,55.4140739440918,57.199066162109375,59.20847702026367,56.07762145996094,41.52479934692383,8.935297012329102,20.655559539794922,51.93926239013672,8.857327461242676,29.00600242614746,20.188392639160156
6,2010-11-09,9.488754272460938,0.2885896861553192,14.12352466583252,23.39607048034668,15.478440284729004,7.570850372314453,31.579696655273438,26.6870059967041,9.58580207824707,32.09634780883789,52.6716194152832,11.45400619506836,17.193666458129883,19.752412796020508,41.795562744140625,13.412308692932129,40.08625793457031,45.803131103515625,30.615455627441406,54.37833023071289,56.366432189941406,58.88957595825195,55.31085968017578,41.51188659667969,8.903854370117188,20.325029373168945,49.460838317871094,8.85407543182373,28.790664672851562,20.151527404785156
7,2010-11-10,9.547298431396484,0.2920280694961548,14.043429374694824,23.355361938476562,15.403417587280273,7.537121772766113,31.69107437133789,27.1685733795166,9.82016658782959,32.992069244384766,52.93797302246094,11.567901611328125,17.334190368652344,19.724037170410156,41.76355743408203,13.280741691589355,40.37004089355469,46.68564224243164,30.499950408935547,54.181358337402344,56.744876861572266,58.64154815673828,53.56966781616211,41.27950668334961,8.820003509521484,20.272842407226562,50.4189453125,8.80527400970459,28.519506454467773,20.004009246826172
8,2010-11-11,9.50586986541748,0.2890481650829315,14.156889915466309,23.25768280029297,15.300257682800293,7.480043411254883,30.78292465209961,26.76726531982422,9.663922309875488,32.54420471191406,53.07114791870117,11.670409202575684,17.290794372558594,19.802865982055664,41.53954315185547,13.239319801330566,40.767333984375,47.1899299621582,30.615455627441406,54.321136474609375,56.731136322021484,57.93288040161133,52.21184158325195,41.2601432800293,8.898612022399902,20.41780662536621,49.59770965576172,8.766236305236816,28.503562927246094,20.15679168701172
9,2010-11-12,9.247096061706543,0.3039475083351135,14.370490074157715,23.054176330566406,15.267434120178223,7.3840436935424805,32.342201232910156,26.493024826049805,9.468609809875488,32.02170944213867,52.50513458251953,11.461601257324219,17.073810577392578,19.840707778930664,41.37310791015625,13.188153266906738,40.29056930541992,46.83364486694336,30.124618530273438,53.37441635131836,55.76770782470703,57.578548431396484,50.39077377319336,41.098785400390625,8.830484390258789,20.12786865234375,49.469600677490234,8.723939895629883,28.375944137573242,20.067230224609375
10,2010-11-15,9.217379570007324,0.30028006434440613,14.216971397399902,23.11928939819336,15.365900993347168,7.428150653839111,31.9138240814209,26.80738067626953,9.45298957824707,32.24564743041992,52.65163803100586,11.689387321472168,16.90435028076172,19.853328704833984,41.23230743408203,13.144303321838379,40.00114822387695,46.51573181152344,29.989858627319336,53.704811096191406,56.304508209228516,57.40141677856445,50.806121826171875,41.40215301513672,8.778077125549316,20.02928352355957,49.13946533203125,8.714177131652832,28.296192169189453,20.193674087524414
11,2010-11-16,9.053764343261719,0.29134032130241394,14.063451766967773,22.451772689819336,15.09394359588623,7.326963901519775,31.631105422973633,26.493024826049805,9.327988624572754,31.499229431152344,51.55292510986328,11.376757621765137,16.637765884399414,19.57583236694336,40.989097595214844,13.219827651977539,39.12709045410156,45.598026275634766,29.412395477294922,52.872406005859375,55.30669403076172,56.196685791015625,50.143184661865234,40.75666809082031,8.699470520019531,19.774141311645508,47.37057876586914,8.549882888793945,28.088848114013672,20.088298797607422
12,2010-11-17,9.02104377746582,0.2961540222167969,14.070125579833984,22.720401763916016,15.164274215698242,7.254316329956055,31.88812828063965,26.205429077148438,9.077994346618652,31.275278091430664,52.18553161621094,11.433947563171387,16.81962013244629,19.714574813842773,40.92509460449219,13.100445747375488,39.16683578491211,45.58695983886719,29.412395477294922,53.209197998046875,55.857181549072266,56.01950454711914,49.9195442199707,40.70500946044922,8.636580467224121,19.988698959350586,47.764766693115234,8.492948532104492,28.05694007873535,19.972394943237305
13,2010-11-18,9.25910472869873,0.30532288551330566,14.030074119567871,23.0460262298584,15.309632301330566,7.378855228424072,32.196556091308594,26.526472091674805,9.14049243927002,32.09634780883789,52.61833953857422,11.658891677856445,17.042810440063477,20.130815505981445,41.45632553100586,13.151613235473633,39.90465545654297,46.33882141113281,30.182353973388672,54.422821044921875,57.19218826293945,56.8344841003418,51.60482406616211,41.20206069946289,8.820003509521484,20.464202880859375,48.26241683959961,8.514098167419434,28.216445922851562,20.03561782836914
14,2010-11-19,9.20806884765625,0.31517931818962097,14.110176086425781,22.915775299072266,15.281503677368164,7.347719669342041,31.708213806152344,26.3592529296875,9.10924243927002,31.872425079345703,53.03118133544922,11.727519035339355,17.7330379486084,20.282175064086914,41.41792297363281,13.251506805419922,40.03518295288086,46.4051513671875,30.519208908081055,54.65156173706055,57.78400802612305,57.472251892089844,50.790138244628906,41.20206069946289,8.804278373718262,20.487398147583008,48.37082290649414,8.45390796661377,28.088848114013672,20.05669593811035
15,2010-11-22,9.407103538513184,0.3154086172580719,14.18359661102295,22.834375381469727,15.239299774169922,7.339937686920166,31.65680694580078,25.757293701171875,8.827993392944336,31.20064926147461,52.951290130615234,11.769453048706055,17.755765914916992,20.26640510559082,41.411521911621094,13.249066352844238,39.8365478515625,46.13426971435547,30.317094802856445,54.3275032043457,57.80465316772461,56.799034118652344,51.14155960083008,41.06648635864258,8.715188980102539,20.638174057006836,48.57284164428711,8.473429679870605,28.168603897094727,20.1409854888916
16,2010-11-23,9.268110275268555,0.3080735206604004,14.076799392700195,22.134275436401367,15.187723159790039,7.272479057312012,30.945703506469727,25.168710708618164,8.663935661315918,30.603498458862305,52.611690521240234,11.590262413024902,17.619373321533203,20.061439514160156,40.8930778503418,13.076081275939941,39.14980697631836,45.19443893432617,29.662633895874023,53.7365608215332,56.86188507080078,55.842350006103516,50.798126220703125,40.58237075805664,8.683745384216309,20.18585968017578,48.07518005371094,8.40444564819336,28.025049209594727,19.998735427856445
17,2010-11-24,9.450332641601562,0.31563785672187805,14.277036666870117,22.582014083862305,15.168967247009277,7.301019191741943,31.588266372680664,25.5231990814209,8.812372207641602,31.126018524169922,52.924644470214844,12.00202465057373,17.8818302154541,20.373620986938477,41.1746940612793,13.158924102783203,39.66059494018555,45.846778869628906,30.480709075927734,54.99467849731445,58.27948760986328,56.48012161254883,52.24379348754883,40.85347366333008,8.746634483337402,20.383020401000977,49.405540466308594,8.457006454467773,28.168603897094727,20.025083541870117
18,2010-11-26,9.456337928771973,0.3117409944534302,14.243673324584961,22.37849998474121,15.103322982788086,7.246532917022705,31.442611694335938,25.081756591796875,8.687370300292969,30.678138732910156,52.298736572265625,11.872396469116211,17.76403045654297,20.215951919555664,40.89948272705078,13.0931396484375,39.29169464111328,45.36029815673828,30.114994049072266,54.403751373291016,57.89409255981445,55.984073638916016,51.7565803527832,40.56050109863281,8.641820907592773,20.174259185791016,48.70093536376953,8.340392112731934,27.94528579711914,19.930253982543945
19,2010-11-29,9.512474060058594,0.31517931818962097,14.236990928649902,22.158700942993164,14.95796012878418,7.186862945556641,31.202726364135742,25.355998992919922,8.835810661315918,30.97671890258789,52.520198822021484,11.73895263671875,17.59870719909668,20.127046585083008,40.969886779785156,13.119938850402832,39.41656494140625,45.1612548828125,30.105361938476562,54.53084945678711,57.577545166015625,56.58641815185547,51.405155181884766,40.30659103393555,8.678508758544922,20.116275787353516,48.64674758911133,8.327249526977539,27.929346084594727,19.782730102539062
20,2010-11-30,9.340760231018066,0.31197017431259155,14.12352466583252,22.020305633544922,15.009536743164062,7.210206985473633,31.279834747314453,25.014881134033203,8.554561614990234,31.349924087524414,52.54703903198242,11.666516304016113,17.79917335510254,20.057199478149414,41.366729736328125,13.178410530090332,39.4789924621582,44.76322937011719,30.009113311767578,54.785003662109375,58.217552185058594,56.09037399291992,50.93390655517578,40.072208404541016,8.54224967956543,19.988698959350586,48.5334358215332,8.314111709594727,27.99313735961914,19.87229347229004
21,2010-12-01,9.498364448547363,0.3257235288619995,14.337116241455078,22.508750915527344,15.168967247009277,7.337341785430908,31.802444458007812,25.516510009765625,8.828248023986816,32.09634780883789,53.21139907836914,12.08590030670166,18.11121368408203,20.542993545532227,42.32109832763672,13.327030181884766,40.48355484008789,45.71965026855469,31.202552795410156,54.89302444458008,60.17877197265625,57.75570297241211,52.49140167236328,40.63864517211914,8.751879692077637,20.33083152770996,49.19365692138672,8.365026473999023,28.360002517700195,20.1409854888916
22,2010-12-02,9.550901412963867,0.3296203017234802,14.483957290649414,22.875072479248047,15.351832389831543,7.407393455505371,31.990938186645508,26.292375564575195,9.133210182189941,32.992069244384766,53.27180099487305,12.490033149719238,18.21490478515625,20.60649299621582,42.04380416870117,13.339216232299805,40.56870651245117,46.714744567871094,31.991758346557617,56.31633758544922,60.983909606933594,59.10218811035156,53.186275482177734,40.75581741333008,8.746634483337402,20.423612594604492,50.223472595214844,8.414299964904785,28.328105926513672,20.06196403503418
23,2010-12-03,9.529587745666504,0.3390183448791504,14.47728157043457,23.453062057495117,15.426863670349121,7.39182710647583,32.20512771606445,26.493024826049805,9.273961067199707,33.21599578857422,53.52683639526367,12.474782943725586,18.152692794799805,20.479488372802734,42.02445602416992,13.307541847229004,40.40409851074219,46.93035125732422,32.10725784301758,55.66820526123047,61.50688171386719,59.45651626586914,53.14634704589844,40.729766845703125,8.762359619140625,20.470003128051758,50.2973747253418,8.392951011657715,28.375944137573242,20.083032608032227
24,2010-12-06,9.610936164855957,0.3326002061367035,14.483957290649414,23.3879337310791,15.422171592712402,7.342531681060791,32.179420471191406,26.6870059967041,9.101927757263184,33.21599578857422,53.40602493286133,12.474782943725586,18.194171905517578,20.317554473876953,41.74074172973633,13.275870323181152,40.472206115722656,46.963504791259766,32.270870208740234,55.719058990478516,61.383033752441406,59.17305374145508,53.186275482177734,40.495391845703125,8.809520721435547,20.44100570678711,50.208683013916016,8.361742973327637,28.200504302978516,20.06196403503418
25,2010-12-07,9.552700996398926,0.34337353706359863,14.40385627746582,23.648433685302734,15.450307846069336,7.4047980308532715,31.982364654541016,26.252246856689453,9.047194480895996,34.48493194580078,53.91606140136719,12.497660636901855,18.08217430114746,20.36518669128418,41.70850372314453,13.422049522399902,40.557342529296875,47.70984649658203,32.49223327636719,55.61103439331055,62.17440414428711,60.34233474731445,52.89874267578125,40.567020416259766,8.788558959960938,20.510595321655273,50.01160430908203,8.35024356842041,27.865543365478516,19.96186065673828
