Price,Date,AAPL,NVDA,INTC,ORCL,VZ,T,DIS,JPM,BAC,C,MCD,SBUX,NKE,KO,PEP,WMT,XOM,CVX,DD,APD,CAT,GE,BA,JNJ,PFE,MRK,SPG,NEE,DUK,SO
1614,2017-03-31,35.915000915527344,2.723249912261963,36.06999969482422,44.61000061035156,48.75,31.38217544555664,113.38999938964844,87.83999633789062,23.59000015258789,59.81999969482422,129.61000061035156,58.38999938964844,55.72999954223633,42.439998626708984,111.86000061035156,24.02666664123535,82.01000213623047,107.37000274658203,90.43456268310547,135.2899932861328,92.76000213623047,142.81463623046875,176.86000061035156,124.55000305175781,32.457305908203125,60.6297721862793,172.02999877929688,32.092498779296875,82.01000213623047,49.779998779296875
1615,2017-04-03,35.92499923706055,2.7095000743865967,36.15999984741211,44.61000061035156,49.18000030517578,31.397281646728516,113.19999694824219,87.5199966430664,23.59000015258789,59.68000030517578,129.61000061035156,58.439998626708984,55.560001373291016,42.40999984741211,111.86000061035156,23.94333267211914,82.06999969482422,107.80000305175781,89.75138854980469,134.9499969482422,92.2699966430664,143.19802856445312,176.64999389648438,124.69000244140625,32.48576736450195,60.5629768371582,174.05999755859375,32.18000030517578,82.25,49.959999084472656
1616,2017-04-04,36.192501068115234,2.5195000171661377,36.279998779296875,44.59000015258789,49.310001373291016,31.4879150390625,113.04000091552734,87.30999755859375,23.440000534057617,59.68000030517578,129.2899932861328,58.31999969482422,55.040000915527344,42.68000030517578,112.08000183105469,24.003332138061523,82.37000274658203,108.66000366210938,89.95064544677734,135.35000610351562,94.12999725341797,143.8689727783203,178.6999969482422,124.68000030517578,32.58064651489258,60.75381851196289,170.55999755859375,32.3849983215332,82.37000274658203,50.02000045776367
1617,2017-04-05,36.005001068115234,2.5007500648498535,36.220001220703125,44.4900016784668,49.02000045776367,31.351964950561523,113.0,86.19000244140625,23.170000076293945,59.59000015258789,130.41000366210938,58.220001220703125,54.97999954223633,42.56999969482422,111.94000244140625,23.883333206176758,82.52999877929688,108.63999938964844,90.40609741210938,135.24000549316406,94.23999786376953,143.6293487548828,177.0800018310547,124.80000305175781,32.438331604003906,60.65839767456055,170.2899932861328,32.65999984741211,82.87000274658203,50.43000030517578
1618,2017-04-06,35.915000915527344,2.5190000534057617,36.029998779296875,44.18000030517578,48.43000030517578,30.664653778076172,113.05000305175781,86.4800033569336,23.260000228881836,59.88999938964844,130.14999389648438,57.91999816894531,55.13999938964844,42.66999816894531,111.58000183105469,23.809999465942383,83.01000213623047,109.29000091552734,90.53418731689453,135.19000244140625,95.81999969482422,143.43765258789062,177.3699951171875,125.05000305175781,32.362430572509766,60.343509674072266,169.8000030517578,32.439998626708984,82.58999633789062,50.130001068115234
1619,2017-04-07,35.834999084472656,2.5082499980926514,36.029998779296875,44.290000915527344,48.65999984741211,30.657100677490234,112.58000183105469,86.18000030517578,23.15999984741211,59.43000030517578,129.9600067138672,58.02000045776367,55.11000061035156,42.61000061035156,111.61000061035156,24.299999237060547,82.76000213623047,108.86000061035156,89.93641662597656,135.00999450683594,95.5199966430664,143.72520446777344,178.85000610351562,124.91999816894531,32.35293960571289,60.238548278808594,169.80999755859375,32.23249816894531,82.26000213623047,49.689998626708984
1620,2017-04-10,35.79249954223633,2.4442501068115234,35.79999923706055,44.0,48.540000915527344,30.498489379882812,112.43000030517578,85.87999725341797,23.020000457763672,59.279998779296875,129.97999572753906,57.95000076293945,54.900001525878906,42.689998626708984,112.0199966430664,24.35333251953125,83.12999725341797,109.43000030517578,90.05027770996094,135.75999450683594,97.13999938964844,143.821044921875,177.55999755859375,124.33999633789062,32.296016693115234,59.685115814208984,171.49000549316406,32.35749816894531,82.4000015258789,49.66999816894531
1621,2017-04-11,35.407501220703125,2.453000068664551,35.7400016784668,44.16999816894531,48.70000076293945,30.445619583129883,113.06999969482422,85.7300033569336,22.920000076293945,59.029998779296875,131.1999969482422,57.880001068115234,54.91999816894531,42.65999984741211,111.7300033569336,24.476667404174805,82.83999633789062,108.97000122070312,88.94012451171875,136.4199981689453,97.0999984741211,143.96481323242188,178.57000732421875,124.22000122070312,32.191650390625,59.713741302490234,173.35000610351562,32.33000183105469,82.19000244140625,49.29999923706055
1622,2017-04-12,35.45000076293945,2.4327499866485596,35.630001068115234,44.18000030517578,48.91999816894531,30.634441375732422,113.04000091552734,85.4000015258789,22.649999618530273,58.5099983215332,131.25999450683594,57.58000183105469,55.56999969482422,42.939998626708984,113.61000061035156,24.479999542236328,82.97000122070312,108.97000122070312,88.12886047363281,135.50999450683594,94.86000061035156,142.67086791992188,176.0500030517578,125.4000015258789,32.18216323852539,60.16221237182617,173.27999877929688,32.627498626708984,82.77999877929688,49.65999984741211
1623,2017-04-13,35.26250076293945,2.3872499465942383,35.25,44.0,48.619998931884766,30.42296028137207,113.19999694824219,84.4000015258789,22.34000015258789,58.040000915527344,130.75999450683594,57.5099983215332,55.34000015258789,42.790000915527344,112.68000030517578,24.383333206176758,81.69000244140625,106.0999984741211,86.90485382080078,134.3000030517578,93.0999984741211,141.66444396972656,175.6199951171875,124.98999786376953,32.14421463012695,59.742366790771484,173.83999633789062,32.692501068115234,82.58999633789062,49.41999816894531
1624,2017-04-17,35.45750045776367,2.48075008392334,35.47999954223633,44.290000915527344,48.810001373291016,30.438066482543945,113.77999877929688,85.86000061035156,22.809999465942383,58.9900016784668,131.35000610351562,58.08000183105469,56.2400016784668,43.06999969482422,113.31999969482422,24.496667861938477,81.58000183105469,106.16999816894531,87.85844421386719,135.86000061035156,94.13999938964844,142.0478515625,179.02000427246094,125.72000122070312,32.25806427001953,59.92366409301758,174.57000732421875,32.727500915527344,82.93000030517578,49.779998779296875
1625,2017-04-18,35.29999923706055,2.4822499752044678,35.77000045776367,44.52000045776367,49.220001220703125,30.40030288696289,114.19000244140625,85.16000366210938,22.709999084472656,58.41999816894531,132.3000030517578,58.349998474121094,56.11000061035156,43.47999954223633,114.27999877929688,24.6299991607666,81.05000305175781,105.68000030517578,87.50262451171875,135.27000427246094,94.38999938964844,143.00633239746094,177.85000610351562,121.81999969482422,32.10626220703125,59.417938232421875,174.72999572753906,32.98500061035156,82.86000061035156,49.970001220703125
1626,2017-04-19,35.16999816894531,2.492000102996826,35.90999984741211,44.189998626708984,48.939998626708984,30.40030288696289,113.7300033569336,84.45999908447266,22.739999771118164,57.72999954223633,132.63999938964844,59.040000915527344,55.86000061035156,43.22999954223633,113.62000274658203,24.690000534057617,80.48999786376953,104.2300033569336,87.60225677490234,134.9600067138672,93.47000122070312,143.7731170654297,178.39999389648438,121.37000274658203,31.888046264648438,59.770992279052734,174.42999267578125,32.875,82.3499984741211,49.75
1627,2017-04-20,35.61000061035156,2.5315001010894775,36.18000030517578,44.529998779296875,48.40999984741211,30.483383178710938,114.79000091552734,85.55000305175781,23.06999969482422,58.40999984741211,133.27000427246094,60.08000183105469,56.400001525878906,43.09000015258789,113.58999633789062,24.933332443237305,81.01000213623047,104.87999725341797,88.1573257446289,136.89999389648438,94.66000366210938,145.06707763671875,179.3000030517578,121.87000274658203,32.01138687133789,59.685115814208984,174.72999572753906,32.717498779296875,82.02999877929688,49.77000045776367
1628,2017-04-21,35.567501068115234,2.5420000553131104,36.31999969482422,44.43000030517578,47.25,30.15860939025879,114.44000244140625,84.5199966430664,22.709999084472656,57.720001220703125,133.41000366210938,60.61000061035156,55.849998474121094,43.06999969482422,113.43000030517578,24.979999542236328,80.69000244140625,104.88999938964844,88.47045135498047,137.3000030517578,94.31999969482422,141.6165313720703,180.3800048828125,121.76000213623047,31.9165096282959,59.05534362792969,171.97999572753906,33.255001068115234,82.20999908447266,49.97999954223633
1629,2017-04-24,35.90999984741211,2.5737500190734863,36.75,44.84000015258789,47.04999923706055,30.226585388183594,113.69999694824219,87.5,23.6299991607666,59.439998626708984,134.22999572753906,61.11000061035156,55.470001220703125,43.279998779296875,114.31999969482422,24.926666259765625,81.11000061035156,105.93000030517578,89.40980529785156,139.75999450683594,96.80999755859375,141.6165313720703,182.05999755859375,122.88999938964844,32.01138687133789,59.29389190673828,168.94000244140625,33.1875,82.58000183105469,50.150001525878906
1630,2017-04-25,36.13249969482422,2.618499994277954,36.869998931884766,44.720001220703125,46.70000076293945,30.166162490844727,115.18000030517578,88.26000213623047,23.979999542236328,60.209999084472656,141.6999969482422,60.959999084472656,55.45000076293945,43.11000061035156,114.16000366210938,25.016666412353516,81.7300033569336,106.7300033569336,92.24211120605469,141.72999572753906,104.41999816894531,141.1372833251953,183.50999450683594,123.43000030517578,32.03036117553711,59.446563720703125,168.0399932861328,33.22999954223633,82.69000244140625,50.15999984741211
1631,2017-04-26,35.91999816894531,2.6005001068115234,36.93000030517578,44.689998626708984,47.36000061035156,30.543806076049805,115.58000183105469,88.43000030517578,23.889999389648438,60.099998474121094,140.83999633789062,61.560001373291016,55.15999984741211,43.2400016784668,113.33000183105469,25.143333435058594,81.4000015258789,106.08000183105469,91.55894470214844,141.5800018310547,104.66000366210938,140.22671508789062,181.7100067138672,123.51000213623047,32.11574935913086,59.828243255615234,165.0399932861328,33.20750045776367,82.5999984741211,49.970001220703125
1632,2017-04-27,35.9474983215332,2.6410000324249268,37.43000030517578,44.77000045776367,46.66999816894531,30.143505096435547,115.83999633789062,87.61000061035156,23.649999618530273,59.38999938964844,140.8699951171875,61.29999923706055,55.470001220703125,43.0099983215332,112.63999938964844,25.14666748046875,81.26000213623047,105.47000122070312,89.93641662597656,141.10000610351562,102.68000030517578,139.36407470703125,183.22000122070312,123.73999786376953,32.12523651123047,59.713741302490234,167.8699951171875,33.380001068115234,82.9000015258789,50.06999969482422
