Date,KO,PEP
2022-10-27,59.529998779296875,178.8800048828125
2022-10-28,60.7599983215332,182.22999572753903
2022-10-31,59.849998474121094,181.5800018310547
2022-11-01,59.63999938964844,180.7599945068359
2022-11-02,58.810001373291016,178.24000549316406
2022-11-03,58.779998779296875,177.77999877929688
2022-11-04,59.2599983215332,178.77999877929688
2022-11-07,59.4900016784668,180.2100067138672
2022-11-08,59.599998474121094,180.7100067138672
2022-11-09,58.77000045776367,178.5500030517578
2022-11-10,60.880001068115234,181.6999969482422
2022-11-11,61.31999969482422,178.0500030517578
2022-11-14,60.72999954223633,176.72999572753906
2022-11-15,60.630001068115234,177.19000244140625
2022-11-16,60.52000045776367,178.3300018310547
2022-11-17,60.709999084472656,180.02999877929688
2022-11-18,61.13999938964844,181.3300018310547
2022-11-21,62.08000183105469,184.82000732421875
2022-11-22,62.349998474121094,184.83999633789065
2022-11-23,62.630001068115234,185.0800018310547
2022-11-25,62.689998626708984,184.11000061035156
2022-11-28,62.70000076293945,183.88999938964844
2022-11-29,62.47999954223633,182.58999633789065
2022-11-30,63.61000061035156,185.5099945068359
2022-12-01,63.790000915527344,185.8999938964844
2022-12-02,64.3499984741211,185.69000244140625
2022-12-05,63.470001220703125,183.1199951171875
2022-12-06,63.439998626708984,181.6300048828125
2022-12-07,63.540000915527344,182.17999267578125
2022-12-08,63.810001373291016,183.77999877929688
2022-12-09,63.13999938964844,183.1000061035156
2022-12-12,63.970001220703125,183.97000122070312
2022-12-13,63.9900016784668,183.8699951171875
2022-12-14,63.9900016784668,183.36000061035156
2022-12-15,63.11000061035156,180.25
2022-12-16,62.75,180.33999633789065
2022-12-19,62.84000015258789,181.33999633789065
2022-12-20,62.790000915527344,181.22999572753903
2022-12-21,63.79999923706055,182.5
2022-12-22,63.34000015258789,181.08999633789065
2022-12-23,63.81999969482422,182.2599945068359
2022-12-27,64.20999908447266,183.07000732421875
2022-12-28,63.56999969482422,181.75
2022-12-29,63.95000076293945,181.97999572753903
2022-12-30,63.61000061035156,180.66000366210935
2023-01-03,62.95000076293945,179.41000366210938
2023-01-04,62.91999816894531,178.97000122070312
2023-01-05,62.20000076293945,177.10000610351562
2023-01-06,63.400001525878906,181.1000061035156
2023-01-09,62.61000061035156,179.3300018310547
2023-01-10,62.130001068115234,177.85000610351562
2023-01-11,62.0099983215332,178.0500030517578
2023-01-12,61.209999084472656,175.77999877929688
2023-01-13,61.43000030517578,175.24000549316406
2023-01-17,61.68000030517578,176.05999755859375
2023-01-18,59.810001373291016,171.6199951171875
2023-01-19,59.720001220703125,169.6300048828125
2023-01-20,60.08000183105469,169.8800048828125
2023-01-23,60.22999954223633,169.1199951171875
2023-01-24,60.54999923706055,170.69000244140625
2023-01-25,60.93000030517578,171.92999267578125
2023-01-26,60.810001373291016,170.22000122070312
2023-01-27,60.4900016784668,169.6199951171875
2023-01-30,60.63999938964844,169.47999572753906
2023-01-31,61.31999969482422,171.02000427246094
2023-02-01,61.33000183105469,171.55999755859375
2023-02-02,60.279998779296875,169.97000122070312
2023-02-03,59.83000183105469,169.1199951171875
2023-02-06,60.16999816894531,171.82000732421875
2023-02-07,60.06999969482422,171.55999755859375
2023-02-08,59.720001220703125,171.16000366210938
2023-02-09,59.619998931884766,172.77999877929688
2023-02-10,59.619998931884766,176.1999969482422
2023-02-13,60.599998474121094,177.77000427246094
2023-02-14,59.59000015258789,175.77000427246094
2023-02-15,59.59000015258789,176.00999450683594
2023-02-16,59.220001220703125,175.50999450683594
2023-02-17,60.119998931884766,176.27999877929688
2023-02-21,59.79999923706055,176.17999267578125
2023-02-22,59.97999954223633,176.1199951171875
2023-02-23,60.09000015258789,176.30999755859375
2023-02-24,59.84000015258789,175.9600067138672
2023-02-27,59.81999969482422,175.91000366210938
2023-02-28,59.5099983215332,173.52999877929688
2023-03-01,58.86000061035156,171.3300018310547
2023-03-02,59.720001220703125,173.32000732421875
2023-03-03,59.439998626708984,173.14999389648438
2023-03-06,60.36000061035156,173.5
2023-03-07,60.0099983215332,172.63999938964844
2023-03-08,60.040000915527344,173.11000061035156
2023-03-09,59.459999084472656,171.8000030517578
2023-03-10,59.209999084472656,172.02999877929688
2023-03-13,59.810001373291016,173.7100067138672
2023-03-14,60.029998779296875,173.52999877929688
2023-03-15,60.43000030517578,176.6300048828125
2023-03-16,60.29999923706055,176.50999450683594
2023-03-17,60.02000045776367,175.1300048828125
2023-03-20,60.599998474121094,177.58999633789062
2023-03-21,60.31999969482422,178.00999450683594
2023-03-22,60.04999923706055,176.50999450683594
2023-03-23,59.91999816894531,175.64999389648438
2023-03-24,60.900001525878906,179.08999633789062
2023-03-27,61.349998474121094,179.49000549316406
2023-03-28,61.41999816894531,179.42999267578125
2023-03-29,61.86000061035156,180.6699981689453
2023-03-30,61.849998474121094,180.8300018310547
2023-03-31,62.029998779296875,182.3000030517578
2023-04-03,62.400001525878906,182.5
2023-04-04,62.209999084472656,181.8500061035156
2023-04-05,62.79999923706055,183.63999938964844
2023-04-06,62.84000015258789,184.36000061035156
2023-04-10,62.689998626708984,183.1999969482422
2023-04-11,62.58000183105469,182.9199981689453
2023-04-12,62.689998626708984,182.55999755859375
2023-04-13,63.150001525878906,184.3800048828125
2023-04-14,63.04999923706055,183.5099945068359
2023-04-17,63.459999084472656,184.4499969482422
2023-04-18,63.560001373291016,184.8300018310547
2023-04-19,63.68000030517578,184.72000122070312
2023-04-20,63.959999084472656,185.3300018310547
2023-04-21,64.05000305175781,185.41000366210935
2023-04-24,63.95000076293945,185.5
