Date,BAC,C,spread_t,beta_t_est,signal_t,theta_t,E·P_t,z_t
2010-11-01,11.5,41.5,6.673426273806626e-06,0.2769474673162975,0,1.8,-6.089541560097551,
2010-11-02,11.399999618530272,41.70000076293945,-0.041185631273064516,0.26945338291376963,0,1.8,-6.181398426433558,
2010-11-03,11.520000457763672,41.900001525878906,0.007053186242762521,0.2708975283481628,0,1.8,-6.18477260618369,
2010-11-04,12.130000114440918,43.29999923706055,0.048958340101037834,0.3143909445908311,0,1.8,-6.300896509049923,
2010-11-05,12.359999656677246,44.900001525878906,-0.041323122385179545,0.27848073556725167,0,1.8,-6.621491859287323,
2010-11-08,12.600000381469728,44.400001525878906,0.09149499800015093,0.2851985631210976,0,1.8,-6.395872195936855,
2010-11-09,12.270000457763672,43.0,0.03982359007091141,0.27309404654996416,0,1.8,-6.167133712035463,
2010-11-10,12.56999969482422,44.20000076293945,0.003127483720014368,0.2738980537236636,0,1.8,-6.356300692968861,
2010-11-11,12.369999885559082,43.599998474121094,-0.008926093838796945,0.2741162947303307,0,1.8,-6.281826376677849,
2010-11-12,12.119999885559082,42.900001525878906,-0.018186109963240327,0.27632122391012326,0,1.8,-6.201644437830271,
2010-11-15,12.100000381469728,43.20000076293945,-0.03366908056096207,0.27373245299786714,0,1.8,-6.287143881514256,
2010-11-16,11.9399995803833,42.20000076293945,0.0217426263518945,0.2703037416828687,0,1.8,-6.09330821093588,
2010-11-17,11.619999885559082,41.900001525878906,-0.061517859705016775,0.27433820191865144,0,1.8,-6.144553656488278,
2010-11-18,11.699999809265137,43.0,-0.07481822931796067,0.25479146857818236,0,1.8,-6.396383297895261,
2010-11-19,11.65999984741211,42.70000076293945,-0.010852404827435436,0.25422479907840934,0,1.8,-6.335015147316523,
2010-11-22,11.300000190734863,41.79999923706055,-0.03946144318283906,0.25904272121392674,0,1.8,-6.24743565021726,
2010-11-23,11.09000015258789,41.0,-0.01178387000226877,0.2608009871139572,0,1.8,-6.125346795787204,
2010-11-24,11.279999732971191,41.70000076293945,-0.0012430015956077511,0.2606354576269422,0,1.8,-6.229661396204045,
2010-11-26,11.119999885559082,41.099998474121094,-0.0014190894093495388,0.26068151174252685,0,1.8,-6.139099423322872,
2010-11-29,11.3100004196167,41.5,0.024411619396111917,0.263287084330148,0,1.8,-6.165957833010825,
2010-11-30,10.949999809265137,42.0,-0.1315232012538221,0.24156707616380993,0,1.8,-6.439840466131779,
2010-12-01,11.289999961853027,43.0,-0.008618845885139947,0.23926340339090135,0,1.8,-6.56128187383442,
2010-12-02,11.68000030517578,44.20000076293945,0.02303686150163209,0.2463137194157924,0,1.8,-6.714251147989969,
2010-12-03,11.859999656677246,44.5,0.034036864094211694,0.2517862331286528,0,1.8,-6.719312692283132,
2010-12-06,11.640000343322754,44.5,-0.05002097998216115,0.24744061812563042,0,1.8,-6.80779461174903,
2010-12-07,11.56999969482422,46.20000076293945,-0.1249870475939634,0.21081403107184898,0,1.8,-7.27486585228093,
2010-12-08,12.0,46.400001525878906,0.06647048094144736,0.21989813754694437,0,1.8,-7.1535607893473045,
2010-12-09,12.649999618530272,46.900001525878906,0.15127072557955756,0.2404559086869306,0,1.8,-7.021229614116678,
2010-12-10,12.800000190734863,47.70000076293945,0.026252144457785676,0.24480888956622354,0,1.8,-7.167449761651984,
2010-12-13,12.539999961853027,48.099998474121094,-0.08047383390842278,0.23451399721022162,0,1.8,-7.375293802525222,
2010-12-14,12.399999618530272,46.900001525878906,0.015149512204752469,0.23393722690489163,0,1.8,-7.121777563695189,
2010-12-15,12.289999961853027,45.900001525878906,0.03498636566683544,0.23180724640762562,0,1.8,-6.907831842929124,
2010-12-16,12.520000457763672,45.900001525878906,0.06871589646006626,0.23390899046861324,0,1.8,-6.8153275298657,
2010-12-17,12.56999969482422,47.0,-0.03390957044766374,0.22838557617310098,0,1.8,-7.079223201385292,
2010-12-20,12.619999885559082,47.099998474121094,-0.0016938325857527303,0.22822259436587633,0,1.8,-7.0849318088458855,
2010-12-21,12.979999542236328,47.400001525878906,0.0721090592812228,0.2353579199820341,0,1.8,-7.017599691607348,
2010-12-22,13.380000114440918,47.29999923706055,0.12436310025621111,0.2431839891299758,0,1.8,-6.830903483153422,
2010-12-23,13.0600004196167,46.79999923706055,-0.018759654570843054,0.24285303200639477,0,1.8,-6.830511395625214,
2010-12-27,13.270000457763672,47.70000076293945,-0.006657922471344335,0.24196150502628294,0,1.8,-6.978419509047586,
2010-12-28,13.34000015258789,47.79999923706055,0.009666616280169293,0.242823459952927,0,1.8,-6.976084479993093,
2010-12-29,13.3100004196167,47.70000076293945,0.0009808846591639053,0.2428833632175867,0,1.8,-6.9623318524574245,
2010-12-30,13.279999732971191,47.599998474121094,-0.001177958337938989,0.24281961948141406,0,1.8,-6.948578623577721,
2010-12-31,13.34000015258789,47.29999923706055,0.03300757803486398,0.24396581490660554,0,1.8,-6.846991139743585,
2011-01-03,14.1899995803833,49.0,0.10561105809563642,0.2657745860950846,0,1.8,-6.944045895141769,
2011-01-04,14.239999771118164,49.0,0.037259098908002386,0.269335571311232,0,1.8,-6.923936228514068,
2011-01-05,14.5,49.70000076293945,0.025274273222244403,0.27254513817626985,0,1.8,-7.0000971422281335,
2011-01-06,14.4399995803833,49.5,0.0046990949464014165,0.27284600009528925,0,1.8,-6.972591285812764,
2011-01-07,14.25,49.400001525878906,-0.03760915986002722,0.2706982096569473,0,1.8,-7.023189284637747,
2011-01-10,14.399999618530272,49.099998474121094,0.04640014799270986,0.2725600115268187,0,1.8,-6.885403876241711,
