Date,JPM,BAC,spread_t,beta_t_est,signal_t,theta_t,E·P_t,z_t
2010-11-01,37.41999816894531,11.5,0.00028082311388999415,3.229469039227477,0,1.8,-0.8336837498764629,
2010-11-02,36.959999084472656,11.399999618530272,-0.06248595728683881,3.270304499539463,0,1.8,-0.8550515625413828,
2010-11-03,37.720001220703125,11.520000457763672,0.1783485403044338,3.3757297625589078,0,1.8,-0.7851891291737978,
2010-11-04,39.79999923706055,12.130000114440918,0.04299005428924829,3.577684002995697,0,1.8,-0.8091897837826352,
2010-11-05,40.939998626708984,12.359999656677246,0.1424093072618362,3.800893496824594,0,1.8,-0.7426093307335311,
2010-11-08,40.5099983215332,12.600000381469728,-0.5602915028348647,3.2607886739033836,0,1.8,-1.0174534144631142,
2010-11-09,39.900001525878906,12.270000457763672,-0.0632082090264845,3.2513447897016867,0,1.8,-0.8949279802237164,
2010-11-10,40.619998931884766,12.56999969482422,-0.19517383701817437,3.174609403997567,0,1.8,-0.9711386141269731,
2010-11-11,40.02000045776367,12.369999885559082,-0.10837004277444606,3.1653939547154133,0,1.8,-0.9458432455327035,
2010-11-12,39.61000061035156,12.119999885559082,0.18256978338380492,3.139903308195967,0,1.8,-0.8419404512314568,
2010-11-15,40.08000183105469,12.100000381469728,0.48248637055278465,3.092726609122309,0,1.8,-0.7267334033927124,
2010-11-16,39.61000061035156,11.9399995803833,0.33571218349994325,3.030576570955109,0,1.8,-0.7043709053254279,
2010-11-17,39.18000030517578,11.619999885559082,0.5356698891405216,2.8344198492091013,0,1.8,-0.5512212511631631,
2010-11-18,39.65999984741211,11.699999809265137,0.5277802420331241,2.7526086836002763,0,1.8,-0.5103155254062433,
2010-11-19,39.40999984741211,11.65999984741211,0.26254885698248387,2.7210742272924127,0,1.8,-0.5328944303096019,
2010-11-22,38.5099983215332,11.300000190734863,0.21381234958260364,2.652770385853082,0,1.8,-0.4490957945963707,
2010-11-23,37.630001068115234,11.09000015258789,-0.06773688209446505,2.6745061731261464,0,1.8,-0.47568506617396267,
2010-11-24,38.15999984741211,11.279999732971191,-0.031603402423414195,2.677039753373119,0,1.8,-0.5082194089203718,
2010-11-26,37.5,11.119999885559082,-0.17932908064874198,2.7011228679737145,0,1.8,-0.5262512216914548,
2010-11-29,37.90999984741211,11.3100004196167,-0.19717500871720262,2.696229798031489,0,1.8,-0.5842979866029889,
2010-11-30,37.400001525878906,10.949999809265137,0.1777496435921222,2.665861800940383,0,1.8,-0.4175841995534091,
2010-12-01,38.150001525878906,11.289999961853027,0.014859421660958105,2.667016767630037,0,1.8,-0.5179879599653177,
2010-12-02,39.310001373291016,11.68000030517578,0.08610554085504418,2.69051750286537,0,1.8,-0.5694398685986855,
2010-12-03,39.61000061035156,11.859999656677246,-0.0621032575012066,2.673530706899529,0,1.8,-0.6432290468935129,
2010-12-06,39.900001525878906,11.640000343322754,0.563166968087387,2.7232167579565667,0,1.8,-0.4134352984210583,
2010-12-07,39.25,11.56999969482422,0.0721595765545473,2.72625331960506,0,1.8,-0.49812551875286637,
2010-12-08,40.2599983215332,12.0,-0.057958309569364985,2.7130542962521487,0,1.8,-0.612038581474625,
2010-12-09,40.810001373291016,12.649999618530272,-0.6770490751529579,2.4287292420189344,0,1.8,-0.9918860795868554,
2010-12-10,41.43000030517578,12.800000190734863,-0.2469354043832226,2.3589241243181878,0,1.8,-0.9747162492627144,
2010-12-13,41.5099983215332,12.539999961853027,0.2968344117146984,2.391556956269935,0,1.8,-0.7589973197276851,
2010-12-14,40.790000915527344,12.399999618530272,-0.05992188328302461,2.3885770750928788,0,1.8,-0.8050696738198102,
2010-12-15,40.209999084472656,12.289999961853027,-0.2566853289624049,2.383960410088579,0,1.8,-0.8443078051308692,
