Date,JPM,BAC,beta_t_est,spread_t
2010-11-01,37.41999816894531,11.5,3.229469039227477,0.00028082311388999415
2010-11-02,36.959999084472656,11.399999618530272,3.270304499539463,-0.06248595728683881
2010-11-03,37.720001220703125,11.520000457763672,3.3757297625589078,0.1783485403044338
2010-11-04,39.79999923706055,12.130000114440918,3.577684002995697,0.04299005428924829
2010-11-05,40.939998626708984,12.359999656677246,3.800893496824594,0.1424093072618362
2010-11-08,40.5099983215332,12.600000381469728,3.2607886739033836,-0.5602915028348647
2010-11-09,39.900001525878906,12.270000457763672,3.2513447897016867,-0.0632082090264845
2010-11-10,40.619998931884766,12.56999969482422,3.174609403997567,-0.19517383701817437
2010-11-11,40.02000045776367,12.369999885559082,3.1653939547154133,-0.10837004277444606
2010-11-12,39.61000061035156,12.119999885559082,3.139903308195967,0.18256978338380492
2010-11-15,40.08000183105469,12.100000381469728,3.092726609122309,0.48248637055278465
2010-11-16,39.61000061035156,11.9399995803833,3.030576570955109,0.33571218349994325
2010-11-17,39.18000030517578,11.619999885559082,2.8344198492091013,0.5356698891405216
2010-11-18,39.65999984741211,11.699999809265137,2.7526086836002763,0.5277802420331241
2010-11-19,39.40999984741211,11.65999984741211,2.7210742272924127,0.26254885698248387
2010-11-22,38.5099983215332,11.300000190734863,2.652770385853082,0.21381234958260364
2010-11-23,37.630001068115234,11.09000015258789,2.6745061731261464,-0.06773688209446505
2010-11-24,38.15999984741211,11.279999732971191,2.677039753373119,-0.031603402423414195
2010-11-26,37.5,11.119999885559082,2.7011228679737145,-0.17932908064874198
2010-11-29,37.90999984741211,11.3100004196167,2.696229798031489,-0.19717500871720262
2010-11-30,37.400001525878906,10.949999809265137,2.665861800940383,0.1777496435921222
2010-12-01,38.150001525878906,11.289999961853027,2.667016767630037,0.014859421660958105
2010-12-02,39.310001373291016,11.68000030517578,2.69051750286537,0.08610554085504418
2010-12-03,39.61000061035156,11.859999656677246,2.673530706899529,-0.0621032575012066
2010-12-06,39.900001525878906,11.640000343322754,2.7232167579565667,0.563166968087387
2010-12-07,39.25,11.56999969482422,2.72625331960506,0.0721595765545473
2010-12-08,40.2599983215332,12.0,2.7130542962521487,-0.057958309569364985
2010-12-09,40.810001373291016,12.649999618530272,2.4287292420189344,-0.6770490751529579
2010-12-10,41.43000030517578,12.800000190734863,2.3589241243181878,-0.2469354043832226
2010-12-13,41.5099983215332,12.539999961853027,2.391556956269935,0.2968344117146984
2010-12-14,40.790000915527344,12.399999618530272,2.3885770750928788,-0.05992188328302461
2010-12-15,40.209999084472656,12.289999961853027,2.383960410088579,-0.2566853289624049
2010-12-16,40.0099983215332,12.520000457763672,2.327841101496734,-0.6716249393743468
2010-12-17,39.66999816894531,12.56999969482422,2.266796893386727,-0.7535505008445185
2010-12-20,39.95000076293945,12.619999885559082,2.2357866071861863,-0.39171175773588374
2010-12-21,41.0,12.979999542236328,2.2214090982749672,-0.09326027256646796
2010-12-22,42.15999984741211,13.380000114440918,2.2433112823818027,0.10737842805537667
2010-12-23,42.08000183105469,13.0600004196167,2.277666158428602,0.49306185951406434
2010-12-27,42.66999816894531,13.270000457763672,2.3177846767860095,0.3917068181051633
2010-12-28,42.61000061035156,13.34000015258789,2.3280772158336513,0.10993513096394736
2010-12-29,42.36000061035156,13.3100004196167,2.3249382829327354,-0.04601875933989419
2010-12-30,42.22999954223633,13.279999732971191,2.3212872575499186,-0.06993624261571085
2010-12-31,42.41999816894531,13.34000015258789,2.320541670988196,-0.01259501307045241
2011-01-03,43.58000183105469,14.1899995803833,2.2192892912992552,-0.4713446496991338
2011-01-04,44.15999984741211,14.239999771118164,2.219085261068812,-0.0014050343984166602
2011-01-05,44.70000076293945,14.5,2.2157887652951613,-0.023117185262890416
2011-01-06,44.47999954223633,14.4399995803833,2.2094536067616684,-0.06897778688617251
2011-01-07,43.63999938964844,14.25,2.195165449496195,-0.31336194713686893
2011-01-10,43.400001525878906,14.399999618530272,2.1592881684059595,-0.5587598874053086
2011-01-11,43.599998474121094,14.6899995803833,2.1016661632282183,-0.6084759832707718
2011-01-12,44.709999084472656,14.989999771118164,2.0928709394601577,-0.07793848172225637
2011-01-13,44.45000076293945,14.770000457763672,2.0971500327576984,0.07699699531266901
2011-01-14,44.90999984741211,15.25,2.066304430464723,-0.28172744342007405
2011-01-18,44.75,15.0,2.0687052345841654,0.04676271185682168
2011-01-19,43.709999084472656,14.369999885559082,2.063419501786701,0.1951642677508545
2011-01-20,44.75,14.539999961853027,2.0731692899250627,0.5595468179429304
2011-01-21,45.290000915527344,14.25,2.0634903692671607,1.0799203299361082
2011-01-24,45.02000045776367,13.920000076293944,2.034133472312906,0.9456715732466563
2011-01-25,44.869998931884766,13.630000114440918,1.9983165855554323,0.8803235982331614
2011-01-26,44.97999954223633,13.550000190734863,1.9821477632383082,0.7400759505200654
2011-01-27,45.099998474121094,13.670000076293944,1.9878009129608043,0.4033078230172009
2011-01-28,44.540000915527344,13.600000381469728,1.9876385870779294,-0.01141386607761774
2011-01-31,44.939998626708984,13.729999542236328,1.9909126683798992,0.08435425402367258
2011-02-01,45.93000030517578,14.3100004196167,1.9854768103643001,-0.04937040594472819
2011-02-02,45.45000076293945,14.239999771118164,1.9672505388761845,-0.24698161462107748
2011-02-03,45.459999084472656,14.43000030517578,1.9356991020578977,-0.3821127993586231
2011-02-04,44.59000015258789,14.289999961853027,1.9040239054422583,-0.6260071346297309
2011-02-07,45.5,14.670000076293944,1.8800216329819865,-0.27158229263900324
