Date,Asset_1,Asset_2,P1,P2,beta_t_est,spread_t,E_dot_P_t,z_t,theta_t,signal_t,z_vecm_t,theta_vecm_t,signal_vecm_t
2010-11-01,KO,DUK,30.854999542236328,54.150001525878906,0.5696116160816962,1.0519132601416459e-05,2.436035576587953,,2,0,-1.7350914302265954,2,0
2010-11-02,KO,DUK,30.93000030517578,54.810001373291016,0.5522638176742506,-0.05811569891963586,2.30663071333686,,2,0,-1.80136038128718,2,0
2010-11-03,KO,DUK,30.975000381469727,54.869998931884766,0.5509987860905132,-0.009582166593702368,2.3150438200840373,,2,0,-1.79017706890185,2,0
2010-11-04,KO,DUK,31.225000381469727,55.59000015258789,0.5413238931175832,-0.030703980527555075,2.2627470253474247,,2,0,-1.786676593829677,2,0
2010-11-05,KO,DUK,31.290000915527344,55.470001220703125,0.542972290509557,0.02037667872481208,2.327829376713053,,2,0,-1.7391885161142935,2,0
2010-11-08,KO,DUK,31.229999542236328,55.290000915527344,0.5431786971109223,0.011965394888083125,2.3422239339781488,,2,0,-1.7389375793532587,2,0
2010-11-09,KO,DUK,31.31999969482422,54.150001525878906,0.5023651295827812,0.1409951833450016,2.681757332223482,,2,0,-1.525529917512117,2,0
2010-11-10,KO,DUK,31.274999618530273,53.63999938964844,0.4913638529165136,0.07313659672511719,2.7885984663371435,,2,0,-1.4684832965669727,2,0
2010-11-11,KO,DUK,31.399999618530273,53.61000061035156,0.4919934802729287,0.04558872330566999,2.862335905300055,,2,0,-1.4076011442081868,2,0
2010-11-12,KO,DUK,31.459999084472656,53.369998931884766,0.49139648434262767,0.048097636517898223,2.9555103787236714,,2,0,-1.3441720164770077,2,0
2010-11-15,KO,DUK,31.479999542236328,53.220001220703125,0.49162470621941795,0.030656913111279493,3.00449639808968,,2,0,-1.3124156820144153,2,0
2010-11-16,KO,DUK,31.040000915527344,52.83000183105469,0.4943586646285387,-0.047117431855667746,2.8718721278533135,,2,0,-1.4515778479404298,2,0
2010-11-17,KO,DUK,31.260000228881836,52.77000045776367,0.49537267251326483,0.04430392776350445,3.0034946086543552,,2,0,-1.3433333674447245,2,0
2010-11-18,KO,DUK,31.920000076293945,53.06999969482422,0.5127760781166917,0.12007833555763625,3.2754255928515246,,2,0,-1.0913774305711685,2,0
2010-11-19,KO,DUK,32.15999984741211,52.83000183105469,0.5144134117761237,0.1055506127562893,3.463717318271021,,2,0,-0.9468281847454081,2,0
2010-11-22,KO,DUK,32.1349983215332,52.97999954223633,0.5144866832242446,0.0007370755464961576,3.412088565928494,,2,0,-0.9808383494349027,2,0
2010-11-23,KO,DUK,31.809999465942383,52.709999084472656,0.5146013037598736,-0.0405494854297892,3.3095001733347473,,2,0,-1.0863678965952948,2,0
2010-11-24,KO,DUK,32.30500030517578,52.97999954223633,0.5234849593908573,0.0684448220649756,3.5019233447983407,,2,0,-0.9042235942389526,2,0
2010-11-26,KO,DUK,32.05500030517578,52.560001373291016,0.5231614788070804,0.008376736445711686,3.477383978961063,,2,0,-0.9532106915314428,2,0
2010-11-29,KO,DUK,31.69499969482422,52.529998779296875,0.5205331482858135,-0.07395226786841391,3.2948317232093807,,2,0,-1.1109030752395692,2,0
2010-11-30,KO,DUK,31.584999084472656,52.650001525878906,0.5154123372697017,-0.054052506656521615,3.2059688375793254,,2,0,-1.178671905461634,2,0
2010-12-01,KO,DUK,32.349998474121094,53.34000015258789,0.535470794130164,0.07416328353538404,3.4334992830643127,,2,0,-0.9385277636583133,2,0
2010-12-02,KO,DUK,32.45000076293945,53.279998779296875,0.5396417665348083,0.04460200761623412,3.501711291038715,,2,0,-0.8843623148426557,2,0
2010-12-03,KO,DUK,32.25,53.369998931884766,0.5353401882185265,-0.04396805197885101,3.3729734931693454,,2,0,-0.9881424840513354,2,0
2010-12-06,KO,DUK,31.9950008392334,53.040000915527344,0.5357224170993053,-0.02650771062232593,3.322741749493174,,2,0,-1.0530284229751634,2,0
2010-12-07,KO,DUK,32.06999969482422,52.40999984741211,0.5257133369975187,0.0831550375244241,3.523728242362923,,2,0,-0.9237076089093246,2,0
2010-12-08,KO,DUK,32.19499969482422,52.08000183105469,0.5205049890097401,0.08398559644704306,3.6743008648873587,,2,0,-0.8173394127166492,2,0
2010-12-09,KO,DUK,32.415000915527344,52.31999969482422,0.524572266867066,0.03955384467210621,3.7290891700341913,,2,0,-0.7545801164704601,2,0
2010-12-10,KO,DUK,32.32500076293945,52.59000015258789,0.5183987998347882,-0.04196223003730637,3.6123780972209882,,2,0,-0.8360780776773924,2,0
2010-12-13,KO,DUK,32.42499923706055,52.619998931884766,0.5192630147435002,0.009330028004804092,3.6575374366110722,,2,0,-0.7955602190192922,2,0
2010-12-14,KO,DUK,31.950000762939453,52.97999954223633,0.49570017027199825,-0.1407445955939295,3.3143296197583627,,2,0,-1.0642111569740655,2,0
2010-12-15,KO,DUK,32.369998931884766,52.650001525878906,0.4961048608988342,0.09708197941601071,3.6207892190484845,,2,0,-0.8248962032628635,2,0
2010-12-16,KO,DUK,32.66999816894531,52.97999954223633,0.5031206308664211,0.05054225997169226,3.6948005199767184,,2,0,-0.7397300902187821,2,0
2010-12-17,KO,DUK,32.849998474121094,53.220001220703125,0.5065303023617326,0.02363238706867321,3.728450015928326,,2,0,-0.6949985758367438,2,0
2010-12-20,KO,DUK,32.654998779296875,53.189998626708984,0.5039329998948173,-0.033852195025836807,3.6330898060699734,,2,0,-0.7783300345758222,2,0
