Date,KO,PEP,alpha,beta,y_pred,spread
2010-11-01,30.854999542236328,65.55000305175781,0.0071792478809056095,0.4705997205026886,30.85499236298852,7.179247809574463e-06
2010-11-02,30.93000030517578,65.80000305175781,0.08589344064173472,0.46906915527658577,30.950645289326538,-0.02064498415075633
2010-11-03,30.975000381469727,65.19999694824219,1.4679921066284165,0.4496268287667324,30.78365997006718,0.1913404114025461
2010-11-04,31.225000381469727,65.3499984741211,2.0866057163660585,0.44180402225948523,30.95849789688398,0.26650248458574666
2010-11-05,31.290000915527344,65.08000183105469,3.9461603326717336,0.415053537417542,30.957845307791093,0.33215560773625086
2010-11-08,31.229999542236328,65.11000061035156,4.683442198173793,0.4046555681402548,31.03056648676794,0.19943305546838985
2010-11-09,31.31999969482422,65.30000305175781,4.709399620514213,0.4049446333297133,31.152285412737438,0.16771428208678074
2010-11-10,31.274999618530273,65.25,4.80386363145246,0.4039405938131221,31.160987377758673,0.11401224077160066
2010-11-11,31.399999618530273,64.9000015258789,6.474200511156786,0.3794714601784186,31.10189885576365,0.298100762766623
2010-11-12,31.459999084472656,64.63999938964844,9.26164397798575,0.3380038692955658,31.110213882949935,0.34978520152272097
2010-11-15,31.479999542236328,64.41999816894531,12.26791666823623,0.29302963349170336,31.14488512121848,0.33511442101784894
2010-11-16,31.040000915527344,64.04000091552734,12.320829286477599,0.2922317428015033,31.035350363032023,0.004650552495320426
2010-11-17,31.260000228881836,63.939998626708984,14.063910311347687,0.2659956214420065,31.071669981060186,0.18833024782164998
2010-11-18,31.920000076293945,64.7699966430664,13.431583426459051,0.27758742361759425,31.410919922328084,0.5090801539658614
2010-11-19,32.15999984741211,64.70999908447266,13.168111302364395,0.2838638911529511,31.536943438986704,0.6230564084254056
2010-11-22,32.1349983215332,64.69999694824219,13.047436644767222,0.28745371209168824,31.645690939860337,0.4893073816728659
2010-11-23,31.809999465942383,63.88999938964844,15.368464348189171,0.2526167203813714,31.50814645916998,0.30185300677240434
2010-11-24,32.30500030517578,64.33000183105469,16.40149005116218,0.2385611767170078,31.748130986185856,0.556869318989925
2010-11-26,32.05500030517578,63.900001525878906,18.135761001176306,0.21279195420096583,31.733167199312774,0.32183310586300706
2010-11-29,31.69499969482422,64.01000213623047,17.973257494120904,0.21514276799337773,31.744546532971547,-0.04954683814732874
2010-11-30,31.584999084472656,64.62999725341797,18.60363294413632,0.2045090276748487,31.821050841060966,-0.23605175658831
2010-12-01,32.349998474121094,65.62999725341797,16.21351654256652,0.2424409984302413,32.12491860365917,0.22507987046192568
2010-12-02,32.45000076293945,65.19999694824219,14.772174746313134,0.2659429300571471,32.111652974445704,0.33834778849374914
2010-12-03,32.25,65.16999816894531,14.404097419412606,0.27204168640864324,32.13305362454068,0.11694637545932096
2010-12-06,31.9950008392334,64.7300033569336,14.396563561196837,0.2721057042320286,32.00996670957683,-0.01496587034343122
2010-12-07,32.06999969482422,64.68000030517578,14.441776185499902,0.2716174196947448,32.00999097424705,0.060008720577165775
2010-12-08,32.19499969482422,64.62999725341797,14.596521209713696,0.26979320734461615,32.033255459387064,0.16174423543715477
2010-12-09,32.415000915527344,64.72000122070312,14.644049754779212,0.27007932851455135,32.12358422592766,0.2914166895996857
2010-12-10,32.32500076293945,64.9000015258789,14.50755639869458,0.27262366867739724,32.200832911848366,0.1241678510910873
2010-12-13,32.42499923706055,65.52999877929688,14.297016284301009,0.27601788699223534,32.38446808196629,0.04053115509425709
2010-12-14,31.950000762939453,65.58999633789062,15.852223436732768,0.25081155109961534,32.30295215485721,-0.35295139191775604
2010-12-15,32.369998931884766,65.23999786376953,15.693651217175166,0.2536901066200901,32.24439323112931,0.1256057007554574
2010-12-16,32.66999816894531,65.75,14.719183653103947,0.26948494671066836,32.437818899330395,0.23217926961491742
2010-12-17,32.849998474121094,65.97000122070312,13.456011139567917,0.28982759820893156,32.57593814720458,0.27406032691651205
2010-12-20,32.654998779296875,66.30999755859375,13.537797536345735,0.2885235430132696,32.66979296915246,-0.014794189855585671
2010-12-21,32.744998931884766,65.4000015258789,13.724814315723588,0.28662719625508193,32.47023338816434,0.2747655437204273
2010-12-22,32.79499816894531,65.68000030517578,13.537106361598859,0.29018842798611366,32.59668240028529,0.19831576866002365
2010-12-23,32.790000915527344,65.69000244140625,13.410232739001398,0.292666423316403,32.635490801173546,0.1545101143537977
2010-12-27,32.53499984741211,65.41999816894531,13.396729553052607,0.2928114026930624,32.552450981079055,-0.017451133666945395
2010-12-28,32.68000030517578,65.27999877929688,13.584625408215595,0.29042147310666455,32.54333881810026,0.1366614870755214
2010-12-29,32.724998474121094,65.33000183105469,13.699983819840003,0.2891351557026219,32.58918407131458,0.1358144028065169
2010-12-30,32.75,65.12000274658203,14.023098359844123,0.2848242916986372,32.57085701755266,0.17914298244733828
2010-12-31,32.8849983215332,65.33000183105469,14.096009872973445,0.28443471363097267,32.67813023530041,0.20686808623279518
2011-01-03,32.61000061035156,65.75,14.386618011459495,0.2794574558454115,32.7609457332953,-0.15094512294373885
2011-01-04,31.934999465942383,65.41000366210938,14.253369940799836,0.27941002576302315,32.52958074918925,-0.5945812832468675
2011-01-05,31.7450008392334,66.58999633789062,19.211692907281424,0.20068445724184886,32.575270180087706,-0.8302693408543078
2011-01-06,31.51499938964844,66.83999633789062,23.894153429091993,0.12641932958283614,32.34402095544735,-0.8290215657989073
2011-01-07,31.459999084472656,66.38999938964844,25.36844685056609,0.10171379939853059,32.12122593055336,-0.6612268460807016
