BAC,C,beta_t_est,spread_t,z_t,z_mean,z_std,z_score,signal
11.5,41.5,0.2769474673162975,6.673426273806626e-06,41.42330010034709,41.42330010034709,0.0,0.0,0
11.399999618530272,41.70000076293945,0.26945338291376963,-0.041185631273064516,41.62739563737578,41.627191747767256,0.044710189095784746,0.20399254679102777,0
11.520000457763672,41.900001525878906,0.2708975283481628,0.007053186242762521,41.826616055013766,41.727350645810375,0.03875874314717254,4.449262350539443,1
12.130000114440918,43.29999923706055,0.3143909445908311,0.048958340101037834,43.201157571019834,42.226572346987716,0.03658865092780765,37.89921440327426,1
12.359999656677246,44.900001525878906,0.27848073556725167,-0.041323122385179545,44.82245000579683,42.89776614881143,0.035476209147263744,70.68411295771465,1
12.600000381469728,44.400001525878906,0.2851985631210976,0.09149499800015093,44.31866330547257,43.19857787693582,0.0348095603179812,39.89393689052806,1
12.270000457763672,43.0,0.27309404654996416,0.03982359007091141,42.92541964173897,43.149007271930984,0.03437254898235627,-7.815036946496025,-1
12.56999969482422,44.20000076293945,0.2738980537236636,0.003127483720014368,44.12498061910584,43.30584828030511,0.034069078986253304,28.27457038539248,1
12.369999885559082,43.599998474121094,0.2741162947303307,-0.008926093838796945,43.52485873108441,43.33778258016579,0.03384984139728868,6.400908696641509,1
12.119999885559082,42.900001525878906,0.27632122391012326,-0.018186109963240327,42.82364810709572,43.268473544677285,0.03368689972570564,-15.122833463315075,-1
12.100000381469728,43.20000076293945,0.27373245299786714,-0.03366908056096207,43.12507130711522,43.250334526911,0.03356323106213789,-4.23828101981727,-1
11.9399995803833,42.20000076293945,0.2703037416828687,0.0217426263518945,42.12693665017169,43.11541644579755,0.033467868414800976,-33.323506772334,-1
11.619999885559082,41.900001525878906,0.27433820191865144,-0.061517859705016775,41.82474007684695,42.96683228654514,0.03339342987501958,-38.39363783519384,-1
11.699999809265137,43.0,0.25479146857818236,-0.07481822931796067,42.935081307539775,42.96330136078162,0.03333476910414033,-0.9465803283462766,0
11.65999984741211,42.70000076293945,0.25422479907840934,-0.010852404827435436,42.635370514472996,42.9278507573466,0.03328819460495274,-9.793533252820092,-1
11.300000190734863,41.79999923706055,0.25904272121392674,-0.03946144318283906,41.73289610564663,42.80162920964424,0.03325099599333643,-35.73636235052028,-1
11.09000015258789,41.0,0.2608009871139572,-0.01178387000226877,40.93198284512039,42.60785072717156,0.03322114472934584,-55.975711635487585,-1
11.279999732971191,41.70000076293945,0.2606354576269422,-0.0012430015956077511,41.632069921167044,42.50827488924173,0.033197098401968175,-29.24010926746131,-1
11.119999885559082,41.099998474121094,0.26068151174252685,-0.0014190894093495388,41.032043623556724,42.35953320922361,0.03317766882738287,-44.26829148761781,-1
11.3100004196167,41.5,0.263287084330148,0.024411619396111917,41.43067991122493,42.26691385371619,0.033161930780153524,-27.87003149229385,-1
10.949999809265137,42.0,0.24156707616380993,-0.1315232012538221,41.94164534771367,42.23475565153245,0.03314915735785691,-9.764197387244945,-1
11.289999961853027,43.0,0.23926340339090135,-0.008618845885139947,42.942753023797806,42.30426562517559,0.03313877326127503,21.261406361035323,1
11.68000030517578,44.20000076293945,0.2463137194157924,0.02303686150163209,44.13933031456701,42.483401209522505,0.03313032041064448,55.12474062345075,1
11.859999656677246,44.5,0.2517862331286528,0.034036864094211694,44.436603692806884,42.67317780668351,0.033123432237605145,58.68839595579461,1
11.640000343322754,44.5,0.24744061812563042,-0.05002097998216115,44.4387731405016,42.84406910311118,0.03311781419666,53.0622465340226,1
11.56999969482422,46.20000076293945,0.21081403107184898,-0.1249870475939634,46.15555820724269,43.16358118398937,0.03311322881334357,99.53843133340614,1
12.0,46.400001525878906,0.21989813754694437,0.06647048094144736,46.35164633498229,43.470393996996194,0.03310948409374722,95.84164110630802,1
12.649999618530272,46.900001525878906,0.2404559086869306,0.15127072557955756,46.84218248185645,43.79420485224804,0.033106424459676174,101.37620960375901,1
12.800000190734863,47.70000076293945,0.24480888956622354,0.026252144457785676,47.640069370528806,44.162906953162086,0.033103923605274976,115.64037169280473,1
12.539999961853027,48.099998474121094,0.23451399721022162,-0.08047383390842278,48.04500165923358,44.53455689142645,0.033101878831626734,116.73850713907741,1
12.399999618530272,46.900001525878906,0.23393722690489163,0.015149512204752469,46.845274899746954,44.755516232971026,0.0331002065291699,69.48987684809194,1
12.289999961853027,45.900001525878906,0.23180724640762562,0.03498636566683544,45.84626692639182,44.85971904326114,0.03309883855899064,32.803624610972655,1
12.520000457763672,45.900001525878906,0.23390899046861324,0.06871589646006626,45.84528811005686,44.95380050615265,0.03309771934311119,29.641568882902153,1
12.56999969482422,47.0,0.22838557617310098,-0.03390957044766374,46.94784002859608,45.14402869225726,0.03309680351744753,59.97392012942884,1
12.619999885559082,47.099998474121094,0.22822259436587633,-0.0016938325857527303,47.047912921542,45.325561754765594,0.03309605403364309,57.263926024293625,1
12.979999542236328,47.400001525878906,0.2353579199820341,0.0721090592812228,47.344608175380635,45.51799341437853,0.03309544062057949,60.72907042795818,1
13.380000114440918,47.29999923706055,0.2431839891299758,0.12436310025621111,47.24086078449138,45.68213952837275,0.033094938535158915,51.82152054183774,1
13.0600004196167,46.79999923706055,0.24285303200639477,-0.018759654570843054,46.741021641905846,45.78299567093264,0.033094527546456545,31.8502207992927,1
13.270000457763672,47.70000076293945,0.24196150502628294,-0.006657922471344335,47.64145539302487,45.95996839957199,0.033094191108631134,55.901483437867164,1
13.34000015258789,47.79999923706055,0.242823459952927,0.009666616280169293,47.741036004357035,46.129538958061424,0.03309391568683864,53.57410927270653,1
