Date,KO,DUK,alpha,beta,y_pred,spread
2010-11-01,30.854999542236328,54.150001525878906,0.010518788099511801,0.5695923916389608,30.85394766447825,0.0010518777580763583
2010-11-02,30.93000030517578,54.810001373291016,0.028238157093704974,0.5664589536207504,31.075854182960022,-0.14585387778424064
2010-11-03,30.975000381469727,54.869998931884766,0.0343542018158083,0.5654806169983875,31.062275052518867,-0.08727467104914055
2010-11-04,31.225000381469727,55.59000015258789,0.06534347973740084,0.563676112177747,31.400098641708507,-0.17509826023878006
2010-11-05,31.290000915527344,55.470001220703125,0.06873940871996238,0.5634325721749642,31.32234487504913,-0.03234395952178559
2010-11-08,31.229999542236328,55.290000915527344,0.06839987039976492,0.5634732750228812,31.222837762290062,0.007161779946265767
2010-11-09,31.31999969482422,54.150001525878906,0.16942603100809095,0.5641980369976334,30.72075059532782,0.5992490994963973
2010-11-10,31.274999618530273,53.63999938964844,0.32759365419786934,0.5640623951690605,30.58390018678991,0.691099431740362
2010-11-11,31.399999618530273,53.61000061035156,0.46088303773745964,0.5642513196604718,30.71039662912703,0.6896029894032445
2010-11-12,31.459999084472656,53.369998931884766,0.6108219815285815,0.5642142694744909,30.722936940736304,0.7370621437363525
2010-11-15,31.479999542236328,53.220001220703125,0.7491964007257714,0.5642016835353348,30.77601068719905,0.7039888550372773
2010-11-16,31.040000915527344,52.83000183105469,0.8445957542409683,0.5638720028671365,30.633954698192262,0.4060462173350814
2010-11-17,31.260000228881836,52.77000045776367,0.959997478889569,0.5636733954611766,30.70504281540506,0.5549574134767745
2010-11-18,31.920000076293945,53.06999969482422,1.066318931596856,0.5647788559423508,31.039132644100583,0.8808674321933623
2010-11-19,32.15999984741211,52.83000183105469,1.2200672415840499,0.5655876100091962,31.10006171399173,1.0599381334203777
2010-11-22,32.1349983215332,52.97999954223633,1.296455111796552,0.5669419896330239,31.33304146302871,0.8019568585044929
2010-11-23,31.809999465942383,52.709999084472656,1.3652942279420908,0.5674866824917856,31.277516742534534,0.5324827234078491
2010-11-24,32.30500030517578,52.97999954223633,1.4098873226212594,0.569205092450765,31.566372860101374,0.7386274450744068
2010-11-26,32.05500030517578,52.560001373291016,1.4881732437121207,0.5698448186634727,31.43921769522702,0.6157826099487629
2010-11-29,31.69499969482422,52.529998779296875,1.5142825097565094,0.5701451988894842,31.46400911144309,0.23099058338112854
2010-11-30,31.584999084472656,52.650001525878906,1.5175712063328766,0.5702361585652213,31.540505824903104,0.044493259569552635
2010-12-01,32.349998474121094,53.34000015258789,1.4955688764652897,0.5718727496280751,31.99926142888767,0.35073704523342286
2010-12-02,32.45000076293945,53.279998779296875,1.4783773470508477,0.5736159220245689,32.04063297230513,0.40936779063432027
2010-12-03,32.25,53.369998931884766,1.4714911138698137,0.5742068026095595,32.11690755582297,0.1330924441770307
2010-12-06,31.9950008392334,53.040000915527344,1.472410525217121,0.5743859378722481,31.937841195827193,0.05715964340620516
2010-12-07,32.06999969482422,52.40999984741211,1.525875477991557,0.574801729895438,31.65123405410368,0.41876564072054023
2010-12-08,32.19499969482422,52.08000183105469,1.6303699367389524,0.5749363994470337,31.573058672680453,0.6219410221437656
2010-12-09,32.415000915527344,52.31999969482422,1.6894435929366654,0.5758569018913363,31.818276524153802,0.5967243913735416
2010-12-10,32.32500076293945,52.59000015258789,1.6998450434854644,0.57668252307728,32.02757902011439,0.2974217428250654
2010-12-13,32.42499923706055,52.619998931884766,1.7076277608656478,0.5776421266309134,32.10315584719596,0.3218433898645898
2010-12-14,31.950000762939453,52.97999954223633,1.7213072498528739,0.5763263428786985,32.255076631745055,-0.3050758688056021
2010-12-15,32.369998931884766,52.650001525878906,1.7269795940410468,0.5771062111121082,32.11162248968774,0.2583764421970258
2010-12-16,32.66999816894531,52.97999954223633,1.714155680803708,0.5784241037860867,32.35906443460904,0.3109337343362739
2010-12-17,32.849998474121094,53.220001220703125,1.690883277462509,0.5798950852415162,32.55290042189574,0.29709805222535124
2010-12-20,32.654998779296875,53.189998626708984,1.6847628805278503,0.5803597543901636,32.55409741953782,0.10090135975905667
2010-12-21,32.744998931884766,53.310001373291016,1.677304984835559,0.58085479437961,32.642674870895235,0.10232406098953106
2010-12-22,32.79499816894531,53.279998779296875,1.6692661439310155,0.5815014617535624,32.651663316320175,0.1433348526251379
2010-12-23,32.790000915527344,53.310001373291016,1.6638813069078766,0.5819553299918029,32.68792074796492,0.102080167562427
2010-12-27,32.53499984741211,53.400001525878906,1.674403439137019,0.5811585503381937,32.70827091397414,-0.17327106656203028
2010-12-28,32.68000030517578,53.58000183105469,1.683766841562161,0.5805944584263255,32.792018987144886,-0.11201868196910425
2010-12-29,32.724998474121094,53.4900016784668,1.684443762470582,0.5805387285924004,32.73746132929306,-0.012462855171968101
2010-12-30,32.75,53.400001525878906,1.6828180157846728,0.5807576340164339,32.69527655842807,0.05472344157193021
2010-12-31,32.8849983215332,53.43000030517578,1.678386565426115,0.5813419500494764,32.73948713398112,0.14551118755208137
2011-01-03,32.61000061035156,53.58000183105469,1.6879933155839708,0.5805304468385867,32.79281572017844,-0.1828151098268762
2011-01-04,31.934999465942383,53.849998474121094,1.7670846677042307,0.5760855365410511,32.78928993140306,-0.8542904654606787
2011-01-05,31.7450008392334,53.310001373291016,1.7557088368157379,0.5741747556119785,32.36496584699935,-0.6199650077659484
2011-01-06,31.51499938964844,53.220001220703125,1.7343873736377897,0.5722621519366912,32.19017979827069,-0.6751804086222499
2011-01-07,31.459999084472656,53.369998931884766,1.7344205729047497,0.5698907955012591,32.149491720097906,-0.6894926356252498
